Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
49.349998474121094,49.70000076293945,45.70000076293945,45.900001525878906,883278,0.0,0.0,0.0
45.0,46.70000076293945,44.5,45.349998474121094,545014,0.0,0.0,0.0
45.0,46.599998474121094,45.0,46.349998474121094,445040,0.0,0.0,0.0
46.95000076293945,48.650001525878906,45.5,48.650001525878906,1456286,0.0,0.0,0.0
51.04999923706055,51.04999923706055,51.04999923706055,51.04999923706055,296328,0.0,0.0,0.0
53.599998474121094,53.599998474121094,53.599998474121094,53.599998474121094,193098,0.0,0.0,0.0
56.25,56.25,51.5,52.20000076293945,4085962,0.0,0.0,0.0
52.0,54.79999923706055,50.5,54.349998474121094,2254425,0.0,0.0,0.0
55.400001525878906,56.45000076293945,53.099998474121094,53.25,1184750,0.0,0.0,0.0
53.0,53.900001525878906,50.599998474121094,50.95000076293945,1268499,0.0,0.0,0.0
