['putting', 'more', 'indo', 'into', 'the', 'indo', 'pacific']
['new', 'zealand', 'chief', 'censor', 'reviews', 'kashmir', 'files', 'classification', 'ex', 'deputy', 'pm', 'criticises', 'move']
['over', '70000', 'jobs', 'up', 'for', 'grabs', 'at', 'mega', 'employment', 'fair', 'launched', 'by', 'tamil', 'nadu', 'cm']
['second', 'covishield', 'dose', 'can', 'be', 'given', 'between', '8', '16', 'weeks', 'after', 'first', 'dose', 'says', 'ntagi', 'reducing', 'gap']
['what', 'might', 'happen', 'if', 'russia', 'ukraine', 'war', 'spreads', 'to', 'a', 'nato', 'country']
['the', 'week', 'that', 'was', 'paytm', 'jk', 'paper', 'among', 'key', 'stocks', 'under', 'spotlight']
['swearing', 'in', 'of', 'new', 'bjp', 'govt', 'in', 'goa', 'to', 'take', 'place', 'between', 'mar', '23', '25', 'pm', 'to', 'attend', 'party', 'leaders']
['pakistan', 'brainwashing', 'youth', 'exploiting', 'religious', 'fault', 'lines', 'to', 'keep', 'terrorism', 'alive', 'in', 'j', 'k', 'officials']
['servers', 'running', 'but', 'snags', 'remain']
['maize', 'exports', 'rise', '28', '5', 'to', '816', '31', 'million', 'in', 'april', 'january', 'fy22']
['turkey', 'says', 'russia', 'and', 'ukraine', 'nearing', 'agreement', 'on', 'critical', 'issues']
['israeli', 'prime', 'minister', 'naftali', 'bennett', 'to', 'visit', 'india', 'from', 'april', '2']
['startups', 'get', 'up', 'to', '10', 'yrs', 'for', 'converting', 'debt', 'investment', 'into', 'equity']
['31', 'of', 'total', 'office', 'spaces', 'in', 'top', '6', 'cities', 'certified', 'as', 'green', 'buildings', 'report']
['amid', 'pandemic', 'software', 'exports', 'from', 'infopark', 'in', 'kochi', 'records', '21', 'pc', 'increase']
['from', 'syria', 'to', 'ukraine', 'border', 'a', 'refugee', 'omar', 'alshakal', 'aids', 'war', 'victims']
['y', 'category', 'security', 'to', 'hc', 'judges', 'who', 'delivered', 'hijab', 'verdict', 'karnataka', 'cm']
['the', 'kashmir', 'files', 'makers', 'should', 'now', 'create', 'film', 'on', 'killings', 'of', 'muslims', 'in', 'india', 'ias', 'officer', 'in', 'mp']
['bjps', 'kirit', 'somaiya', 'alleges', 'rs', '1000', 'crore', 'scam', 'by', 'shiv', 'sena', 'leaders', 'in', 'mumbai']
['sc', 'agrees', 'to', 'hear', 'plea', 'against', 'madras', 'hc', 'order', 'on', 'petition', 'seeking', 'appointment', 'of', 'panel', 'in', 'temples']
['experts', 'say', 'future', 'covid', 'waves', 'unlikely', 'to', 'have', 'serious', 'impact', 'in', 'india', 'some', 'call', 'for', 'easing', 'mask', 'mandate']
['court', 'orders', 'framing', 'of', 'charge', 'against', 'yasin', 'malik', 'hafiz', 'saeed', 'others']
['kpcc', 'president', 'sudhakaran', 'proposes', 'fly', 'kerala', 'as', 'alternative', 'to', 'silverline']
['shane', 'warnes', 'family', 'and', 'friends', 'say', 'goodbye', 'at', 'private', 'funeral']
['day', 'trading', 'guide', '2', 'stock', 'recommendations', 'for', 'monday']
['the', 'handshake', 'regains', 'firm', 'grip', 'on', 'corporate', 'etiquette']
['russias', 'energy', 'clout', 'doesnt', 'just', 'come', 'from', 'oil', 'and', 'gas', 'its', 'also', 'a', 'key', 'nuclear', 'supplier']
['uttarakhand', 'bjp', 'legislators', 'to', 'meet', 'on', 'monday', 'to', 'elect', 'new', 'leader']
['parts', 'of', 'andamans', 'experience', 'rain', 'strong', 'winds', 'due', 'to', 'cyclone', 'asani']
['russia', 'ukraine', 'war', 'throwing', 'up', 'opportunities', 'for', 'investors', 'in', '4', 'sectors']
['students', 'say', 'the', 'kashmir', 'files', 'cant', 'change', 'the', 'fact', 'that', 'jnu', 'is', 'indias', 'top', 'varsity']
['stamp', 'duty', 'registration', 'fee', 'mop', 'up', 'crosses', 'rs', '1', 'lakh', 'cr', 'in', '8', 'months', 'of', 'fy22', 'report']
['bsnls', 'service', 'revenue', 'seen', 'at', 'rs', '17000', 'cr', 'in', 'fy22', 'says', 'confident', 'of', 'defending', 'turf', 'with', 'quality', '4g', 'services']
['sbi', 'lines', 'up', '12', 'npa', 'accounts', 'for', 'sale', 'to', 'arcs', 'to', 'recover', 'dues', 'of', 'over', 'rs', '820', 'cr']
['i', 't', 'dept', 'detects', 'rs', '224', 'cr', 'black', 'income', 'after', 'raids', 'on', 'maharashtra', 'based', 'start', 'up', 'group']
['govt', 'working', 'on', 'classification', 'of', 'cryptocurrency', 'under', 'gst', 'law']
['gold', 'etfs', 'log', 'rs', '248', 'cr', 'outflow', 'in', 'feb', 'as', 'investors', 'prefer', 'equity', 'funds']
['domestic', 'solar', 'equipment', 'makers', 'running', 'plants', 'at', '30', 'capacity', 'reforms', 'tariff', 'safeguards', 'needed']
['family', 'feud', 'breaks', 'out', 'at', 'analjit', 'singhs', 'max', 'group']
['bmc', 'issues', 'fresh', 'notice', 'to', 'narayan', 'ranes', 'mumbai', 'bungalow', 'for', 'unauthorised', 'alterations']
['ba', '2', 'version', 'of', 'omicron', 'identified', 'in', '18', '4', 'samples', 'in', 'tamil', 'nadu']
['lexus', 'gears', 'up', 'to', 'drive', 'in', 'evs', 'consolidate', 'sales', 'infra', 'in', 'india']
['the', 'kashmir', 'files', 'has', 'initiated', 'conversation', 'let', 'it', 'build', 'up', 'says', 'bjp']
['centre', 'planning', 'to', 'use', 'fortified', 'ganga', 'sludge', 'as', 'substitute', 'for', 'chemical', 'fertilisers']
['auto', 'expo', 'to', 'be', 'held', 'from', 'january', '13', '18', 'next', 'year']
['india', 'adds', '1761', 'covid', 'cases', 'lowest', 'single', 'day', 'rise', 'in', 'nearly', 'two', 'years']
['mcap', 'of', 'top', '10', 'valued', 'companies', 'swells', 'by', 'over', 'rs', '2', '72', 'lakh', 'cr']
['tn', 'agri', 'budget', 'sima', 'welcomes', 'allocation', 'for', 'boosting', 'cotton', 'yield']
['north', 'korea', 'fires', 'multiple', 'rocket', 'launcher', 'south', 'korean', 'military', 'says']
['stealth', 'omicron', 'fii', 'flow', 'among', 'key', 'factors', 'that', 'may', 'guide', 'market', 'this', 'week']
['japan', 'summit', 'india', 'doesnt', 'get', 'drawn', 'into', 'criticism', 'of', 'russian', 'action', 'in', 'ukraine']
['one', 'of', 'europes', 'biggest', 'steel', 'works', 'damaged', 'in', 'ukraines', 'mariupol']
['samsung', 'galaxy', 'tab', 's8', 'ultra', 'review', 'it', 'is', 'snazzy', 'superfast', 'but', 'with', 'a', 'small', 'display']
['russians', 'push', 'deeper', 'into', 'mariupol', 'as', 'locals', 'plead', 'for', 'help']
['post', 'lockdown', 'tourism', 'rebooted', 'along', 'goas', 'beaches', 'and', 'so', 'did', 'litter']
['india', 'is', 'in', 'final', 'talks', 'to', 'start', 'wheat', 'export', 'to', 'egypt']
['samsung', 'galaxy', 's22', 'ultra', 'review', 'a', 'premium', 'device', 'with', 'impressive', 'camera', 'quality']
['suzuki', 'announces', 'rs', '10440', 'crore', 'investment', 'in', 'gujarat', 'for', 'ev', 'and', 'battery', 'manufacturing']
['the', 'many', 'positives', 'of', 'pulses', 'why', 'we', 'shouldnt', 'ignore', 'the', 'edible', 'leaves', 'of', 'lobia', 'more']
['soaring', 'prices', 'for', 'everything', 'used', 'to', 'make', 'food', 'brings', 'more', 'inflation']
['view', 'deliver', 'us', 'from', 'covid', 'hobbies', 'from', 'sourdough', 'to', 'wordle']
['up', 'bjp', 'mlas', 'to', 'meet', 'tomorrow', 'yogi', '2', '0', 'government', 'to', 'be', 'sworn', 'in', 'on', '25th', 'march']
['startups', 'board', 'express', 'train', 'chasing', 'top', 'talent', 'in', '2022']
['ril', 'acres', 'offer', 'for', 'sintex', 'ind', 'gets', 'over', '90', 'support', 'from', 'lenders']
['india', 'central', 'to', 'ibm', 'consultings', 'strategy', 'says', 'john', 'granger']
['sustainability', 'key', 'goal', 'ai', 'and', '5g', 'prime', 'drivers', 'study']
['eye', 'on', 'raj', 'polls', 'aap', 'to', 'hold', '2', 'day', 'convention', 'in', 'jaipur', 'to', 'strengthen', 'organisation']
['amid', 'rising', 'heat', 'mp', 'cabinet', 'to', 'hold', 'meeting', 'in', 'pachmarhi', 'hill', 'station', 'coming', 'weekend']
['hong', 'kong', 'will', 'review', 'covid', '19', 'restrictions', 'as', 'cases', 'decline']
['there', 'is', 'little', 'to', 'stop', 'new', 'zealanders', 'leaving', 'to', 'fight', 'in', 'ukraine', 'but', 'few', 'legal', 'protections', 'if', 'they', 'do']
['huge', 'expenditure', 'on', 'welfare', 'schemes', 'by', 'modi', 'govt', 'hitting', 'public', 'finances', 'yashwant', 'sinha']
['abhishek', 'banerjee', 'wife', 'rujira', 'to', 'appear', 'before', 'ed', 'for', 'questioning', 'in', 'connection', 'with', 'coal', 'scam']
['have', 'not', 'spotted', 'reverse', 'zoonosis', 'cases', 'in', 'india', 'yet', 'dr', 'priya', 'abraham', 'director', 'national', 'institute', 'of', 'virology']
['fmcg', 'makers', 'to', 'go', 'for', 'around', '10', 'pc', 'price', 'hike', 'to', 'mitigate', 'inflationary', 'pressures']
['surrogate', 'babies', 'born', 'in', 'ukraine', 'wait', 'out', 'war', 'in', 'basement']
['its', 'not', 'the', 'time', 'to', 'be', 'conservative', 'with', 'vaccinations', 'virologist', 'shahid', 'jameel']
['working', 'to', 'improve', 'tax', 'literacy', 'in', 'country', 'for', 'widening', 'taxpayer', 'net', 'says', 'cbdt', 'chairman']
