['hero', 'motocorp', 'reports', 'net', 'profit', 'of', 'rs', '365', 'crore', 'in', 'q1fy22']
['chemplast', 'sanmar', 'subscribed', '30', 'so', 'far', 'on', 'day', '3', 'gmp', 'shrinks']
['sentient', 'labs', 'agharkar', 'research', 'institute', 'develop', 'tech', 'to', 'generate', 'hydrogen', 'directly', 'from', 'agri', 'residue']
['majority', 'of', 'citizens', 'feel', 'confident', 'of', 'indias', 'preparedness', 'for', 'third', 'wave', 'says', 'survey']
['powermin', 'asks', 'govt', 'departments', 'to', 'switch', 'to', 'prepaid', 'smart', 'meters']
['storm', 'created', 'by', 'voices', 'of', 'dalits', 'farmers', 'will', 'throw', 'modi', 'out', 'of', 'power', 'says', 'rahul', 'gandhi']
['aptus', 'value', 'housing', 'ipo', 'subscribed', '45', 'on', 'day', '3', 'so', 'far']
['learn', 'wealth', 'management', 'from', 'the', 'experts', 'at', 'the', '6th', 'india', 'wealth', 'management', 'conference']
['alternative', 'that', 'prioritises', 'youth', 'needed', 'in', 'up', 'priyanka', 'gandhi', 'vadra']
['niti', 'aayog', 'releases', 'handbook', 'for', 'ev', 'charging', 'infra', 'implementation']
['pm', 'modi', 'hails', 'work', 'done', 'by', 'women', 'self', 'help', 'groups', 'says', 'they', 'can', 'connect', 'villages', 'with', 'prosperity']
['deutsche', 'bank', 'gets', 'nod', 'to', 'set', 'up', 'ifsc', 'banking', 'unit', 'at', 'gift', 'city']
['russia', 'detains', 'head', 'of', 'hypersonics', 'research', 'facility', 'in', 'treason', 'case', 'tass']
['simple', 'energy', 'to', 'take', 'pre', 'bookings', 'for', 'its', 'e', 'scooter', 'on', 'august', '15']
['tech', 'view', 'nifty50', 'forms', 'bullish', 'candle', 'eyes', 'the', '16400', 'level']
['indian', 'fmcg', 'industry', 'clocks', '37', 'value', 'based', 'growth', 'in', 'apr', 'jun', 'quarter', 'report']
['israels', 'elbit', 'systems', 'sees', 'demand', 'for', 'anti', 'missile', 'laser']
['before', 'eos', '03', 'setback', 'isros', 'chandrayaan', '2', 'too', 'did', 'not', 'yield', 'desired', 'results']
['airtel', 'payments', 'bank', 'turns', 'profitable', 'in', 'july', 'amid', 'business', 'growth', 'ceo', 'to', 'staff']
['west', 'bengal', 'covid', 'restrictions', 'extended', 'till', 'august', '30', 'night', 'curbs', 'relaxed']
['rural', 'demand', 'bounced', 'back', 'quickly', 'despite', 'second', 'wave', 'bharat', 'puri', 'pidilite', 'industries']
['uttar', 'pradesh', 'congress', 'mass', 'contact', 'programme', 'from', 'august', '19']
['very', 'strong', 'credit', 'growth', 'likely', 'over', 'next', '3', '4', 'years', 'susmit', 'patodia']
['ethreums', 'update', 'has', 'boosted', 'ethers', 'price', 'but', 'the', 'cryptocurrencys', 'main', 'problem', 'is', 'yet', 'to', 'be', 'solved']
['terrorists', 'attack', 'bsf', 'convoy', 'in', 'jammu', 'and', 'kashmirs', 'kulgam', 'gunfight', 'underway']
['mizoram', 'clocked', '576', 'new', 'covid', '19', 'cases', 'including', '128', 'children', 'in', 'last', '24', 'hours']
['opposition', 'should', 'apologise', 'to', 'nation', 'for', 'their', 'behaviour', 'in', 'parliament', 'ministers']
['how', 'msme', 'financing', 'can', 'reach', 'consumer', 'financing', 'level', 'in', 'the', 'next', 'five', 'years']
['rupee', 'surges', '19', 'paise', 'to', 'close', 'at', '74', '25', 'against', 'us', 'dollar']
['bureaucrats', 'running', 'up', 'govt', 'peoples', 'representatives', 'ignored', 'bjp', 'leader']
['india', 'doubles', 'flights', 'to', 'the', 'uk', 'from', 'monday', 'move', 'will', 'help', 'reduce', 'fares']
['penguin', 'random', 'houses', 'announces', 'new', 'imprint', 'to', 'tell', 'stories', 'of', 'indias', 'armed', 'forces']
['vip', 'industries', 'wakes', 'up', 'from', 'a', 'long', 'slumber', 'to', 'reach', 'an', '18', 'month', 'high']
['fo', 'follow', 'up', 'buying', 'lifts', 'nifty', 'higher', 'lower', 'vix', 'shows', 'bulls', 'in', 'command']
['losing', 'one', 'of', 'the', 'lions', 'that', 'guarded', 'judicial', 'institution', 'says', 'cji', 'on', 'retirement', 'of', 'justice', 'nariman']
['sales', 'for', 'indian', 'artists', 'declined', '25', 'in', '2020', 'to', 'rs', '81', 'cr', 'due', 'to', 'covid', 'most', 'expensive', 'work', 'of', 'the', 'yr', 'sold', 'at', 'rs', '5', '28', 'crore']
['abhishek', 'bachchan', 'sells', 'luxury', 'apartment', 'in', 'mumbais', 'worli', 'for', 'rs', '45', '75', 'crore']
['miko', 'raises', '28', 'million', 'in', 'series', 'b', 'round']
['told', 'union', 'health', 'minister', 'difficult', 'to', 'ascertain', 'oxygen', 'related', 'deaths', 'without', 'probe', 'manish', 'sisodia']
['five', 'years', 'down', 'zomato', 'other', 'consumer', 'tech', 'cos', 'may', 'give', 'better', 'returns', 'than', 'hul', 'marico', 'rahul', 'chadha']
['pakistan', 'successfully', 'test', 'fires', 'nuclear', 'capable', 'surface', 'to', 'surface', 'ballistic', 'missile', 'ghaznavi']
['it', 'financials', 'lift', 'sensex', 'by', '318', 'pts', 'power', 'grid', 'leaps', '6']
['madhya', 'pradesh', 'high', 'court', 'asks', 'state', 'government', 'for', 'details', 'of', 'patients', 'suffering', 'from', 'black', 'fungus', 'and', 'similar', 'diseases']
['buying', 'foreign', 'stocks', 'to', 'get', 'easier', 'for', 'indians']
['premji', 'invest', 'invests', '25', 'million', 'in', 'sb', 'packagings', 'for', 'significant', 'stake']
['hester', 'biosciences', 'q1', 'results', 'net', 'profit', 'jumps', 'two', 'fold', 'to', 'rs', '11', 'cr']
['rites', 'q1', 'results', 'net', 'profit', 'grows', '20', 'to', 'rs', '78', 'crore']
['indias', 'sugar', 'exports', 'touch', '5', '11', 'mn', 'tonnes', 'so', 'far', 'this', 'year', 'aista']
['more', 'than', '1200', 'villages', 'in', 'uttar', 'pradesh', 'hit', 'by', 'floods', 'rescue', 'efforts', 'underway']
['natco', 'pharma', 'q1', 'results', 'net', 'profit', 'declines', '39', 'to', 'rs', '75', 'cr']
['taiwan', 'united', 'states', 'coast', 'guards', 'meet', 'despite', 'chinese', 'pressure']
['itc', 'continues', 'to', 'look', 'very', 'good', 'over', 'medium', 'to', 'long', 'term', 'abneesh', 'roy']
['guar', 'seed', 'futures', 'rise', 'on', 'fresh', 'bets']
['received', '120', 'grievances', 'actioned', '167', 'urls', 'during', 'june', '26', 'july', '25', 'twitter']
['govt', 'stonewalled', 'demand', 'for', 'discussion', 'has', 'scant', 'respect', 'for', 'parliamentary', 'democracy', 'opposition', 'leaders']
['planning', 'to', 'invest', 'in', 'bitcoin', 'other', 'cryptocurrencies', 'all', 'faqs', 'answered']
['view', 'finding', 'fta', 'partners', 'in', 'large', 'western', 'markets', 'will', 'certainly', 'be', 'a', 'shot', 'in', 'the', 'arm', 'for', 'indias', 'manufacturing', 'industry']
['copper', 'futures', 'rise', 'on', 'spot', 'demand']
['augment', 'infra', 'invests', 'rs', '1650', 'cr', 'in', 'cleanmax', 'for', 'majority', 'stake']
['licious', 'opens', 'its', 'first', 'ever', 'esop', 'buyback', 'option', 'worth', 'rs', '30', 'crore']
['td', 'power', 'systems', 'q1', 'results', 'posts', 'net', 'profit', 'of', 'rs', '10', 'cr']
['crude', 'oil', 'futures', 'dip', 'on', 'weak', 'spot', 'demand']
['arunachal', 'pradesh', 'okays', 'toy', 'train', 'project', 'in', 'tawang']
['india', 'cannot', 'become', 'next', 'factory', 'of', 'world', 'by', 'copying', 'china', 'niti', 'aayog', 'ceo', 'amitabh', 'kant']
['coriander', 'futures', 'rise', 'on', 'spot', 'demand']
['simple', 'energy', 'launching', 'one', 'electric', 'scooter', 'on', 'august', '15', 'check', 'out', 'booking', 'price', 'battery', 'specification']
['nickel', 'futures', 'rise', 'on', 'firm', 'spot', 'demand']
['chandrayaan', '2', 'detects', 'presence', 'of', 'water', 'molecules', 'on', 'moon']
['amitabh', 'bachchan', 'emraan', 'hashmis', 'chehre', 'to', 'release', 'in', 'theatres', 'on', 'aug', '27']
['chloe', 'bennet', 'drops', 'out', 'of', 'powerpuff', 'live', 'action', 'reboot', 'pilot']
['deadlock', 'in', 'parliament', 'unfortunate', 'says', 'mayawati']
['scaler', 'academy', 'launches', 'new', 'course', 'in', 'data', 'science', 'and', 'machine', 'learning']
['australia', 'stocks', 'end', 'flat', 'as', 'rio', 'tinto', 'cba', 'offset', 'early', 'gains']
['union', 'home', 'secretary', 'ajay', 'kumar', 'bhalla', 'gets', 'one', 'year', 'extension']
['european', 'stocks', 'steady', 'on', 'strong', 'earnings', 'ma', 'activity']
['united', 'states', 'sees', 'pakistan', 'useful', 'only', 'for', 'clearing', 'mess', 'in', 'afghanistan', 'imran', 'khan']
['iaf', 'sacks', 'staffer', 'for', 'refusing', 'to', 'get', 'vaccinated', 'against', 'covid', '19']
['new', 'general', 'insurance', 'law', 'will', 'allow', 'the', 'government', 'to', 'privatise', 'some', 'state', 'owned', 'insurers']
['some', 'afghans', 'blame', 'neighbouring', 'pakistan', 'for', 'taliban', 'gains']
['nikkei', 'shares', 'slip', 'as', 'japan', 'chip', 'stocks', 'take', 'hit', 'from', 'outlook', 'worries']
['twitter', 'says', 'accounts', 'of', 'rahul', 'gandhi', 'other', 'congress', 'leaders', 'blocked', 'for', 'violating', 'rules']
['covid', 'will', 'be', 'like', 'common', 'cold', 'in', 'the', 'next', 'few', 'years', 'mostly', 'affecting', 'unvaccinated', 'children']
['indias', 'online', 'gaming', 'industry', 'has', 'the', 'potential', 'to', 'generate', '2', 'billion', 'by', '2023', 'ey', 'all', 'india', 'gaming', 'federation', 'report']
['nuvoco', 'vistas', 'ipo', 'heres', 'how', 'to', 'check', 'allotment', 'status']
['india', 'set', 'to', 'clear', 'boeing', '737', 'max', 'to', 'fly', 'again', 'within', 'days']
['renew', 'power', 'to', 'look', 'for', 'more', 'hydropower', 'buys', 'energy', 'storage', 'projects', 'to', 'ensure', 'round', 'the', 'clock', 'supply', 'chairman', 'sumant', 'sinha']
['tech', 'mahindra', 'expands', 'collaboration', 'with', 'microsoft', 'for', 'hybrid', 'cloud']
['edelweiss', 'wealth', 'management', 'aims', 'to', 'raise', '1', 'bn', 'via', 'pre', 'ipo', 'pe', 'fund']
['wait', 'and', 'watch', 'for', 'next', '3', '4', 'months', 'small', 'midcaps', 'may', 'see', 'multiple', 'deratings', 'rahul', 'chadha']
['bpcl', 'q1', 'results', 'net', 'profit', 'sinks', '28', 'yoy', 'to', 'rs', '1502', 'cr', 'misses', 'estimates', 'sales', 'rise', '77']
['scientists', 'discover', 'a', 'flexible', 'fabric', 'that', 'can', 'be', 'used', 'to', 'make', 'a', 'real', 'life', 'superhero', 'suit']
['indonesias', 'army', 'stops', 'virginity', 'tests', 'on', 'female', 'recruits']
['turkey', 'says', 'kabul', 'airport', 'issue', 'to', 'take', 'shape', 'in', 'coming', 'days']
['powerhouse91', 'acquires', 'brands', 'across', 'three', 'product', 'categories', 'plans', 'to', 'scale', 'up', 'the', 'brands']
['hc', 'refuses', 'to', 'entertain', 'pil', 'to', 'end', 'pension', 'disparity', 'between', 'armed', 'forces', 'under', 'mha', 'defence', 'ministry']
['neeraj', 'chopras', 'gold', 'winning', 'javelin', 'throw', 'gets', 'listed', 'as', '1', 'of', '10', 'magical', 'moments', 'at', 'tokyo', 'olympics']
['messis', 'paris', 'st', 'germain', 'package', 'includes', 'crypto', 'fan', 'tokens']
['why', 'indias', 'largest', 'fund', 'house', 'just', 'raised', 'red', 'flag', 'over', 'stocks', 'ipos']
['working', 'towards', 'creating', 'greater', 'synergy', 'between', 'education', 'and', 'skills', 'as', 'outlined', 'in', 'nep', 'dharmendra', 'pradhan']
['some', 'ministers', 'call', 'on', 'rajya', 'sabha', 'chairperson', 'venkaiah', 'naidu', 'a', 'day', 'after', 'monsoon', 'session', 'curtailed']
['jennifer', 'lawrence', 'to', 'play', 'lead', 'in', 'biopic', 'of', 'hollywood', 'talent', 'agent', 'sue', 'mengers']
['china', 'shares', 'fall', 'as', 'weak', 'lending', 'data', 'fans', 'liquidity', 'concerns']
['cils', 'auction', 'booking', 'up', '29', 'in', 'apr', 'jul21', 'as', 'global', 'coal', 'prices', 'soar']
['amazon', 'india', 'announces', 'expansion', 'of', 'fulfilment', 'network', 'in', 'tn', 'almost', 'doubles', 'storage', 'capacity']
['biofuels', 'to', 'play', 'a', 'big', 'role', 'in', 'reduction', 'of', 'ghg', 'emissions', 'shishir', 'joshipura', 'praj', 'industries']
['myanmars', 'dependence', 'on', 'china', 'increases', 'even', 'as', 'a', 'new', 'report', 'slams', 'bri', 'related', 'abuses']
['a', 'first', 'in', 'india', 'crypto', 'co', 'lets', 'users', 'pay', 'for', 'common', 'daily', 'use', 'products', 'services', 'using', 'bitcoins']
['cipla', 'gets', 'usfda', 'nod', 'for', 'generic', 'product']
['special', 'court', 'denies', 'bail', 'to', 'sushant', 'singh', 'rajputs', 'flatmate', 'siddharth', 'pithani', 'in', 'drugs', 'case']
['its', 'a', 'shock', 'says', 'ex', 'isro', 'chairman', 'madhavan', 'nair', 'on', 'gslv', 'launch', 'setback']
['share', 'of', 'agriculture', 'sector', 'in', 'employment', 'sees', 'steady', 'increase', 'cmie']
['opposition', 'takes', 'out', 'protest', 'march', 'against', 'govt', 'rahul', 'gandhi', 'says', 'voice', 'of', 'people', 'crushed']
['potential', 'to', 'increase', 'number', 'of', 'rs', '5000', 'crore', 'indian', 'tech', 'companies', 'to', '500', 'rajeev', 'chandrasekhar']
['commodity', 'strategies', 'gold', 'silver', 'crude', 'base', 'metals']
['mission', 'can', 'be', 'rescheduled', 'again', 'jitendra', 'singh', 'after', 'gslv', 'fails', 'to', 'inject', 'eos', '03', 'satellite', 'in', 'orbit']
['budget', 'session', 'of', 'puducherry', 'assembly', 'to', 'begin', 'on', 'august', '26']
['sars', 'cov', '2', 'mutations', 'why', 'coronavirus', 'might', 'still', 'have', 'some', 'tricks', 'to', 'pull']
['world', 'boxing', 'council', 'announces', 'formation', 'of', 'india', 'committee']
['reduce', 'lupin', 'target', 'price', 'rs', '962', 'icici', 'securities']
['hanwha', 'systems', 'invests', 'rs', '2228', 'cr', 'in', 'bharti', 'backed', 'oneweb', 'for', '8', '8', 'share']
['indoco', 'remedies', 'hits', 'upper', 'circuit', 'after', 'strong', 'q1', 'numbers']
['a', 'stock', 'jhunjhunwalas', 'exited', 'in', 'q1', 'sees', 'rerating', 'after', 'smart', 'turnaround']
['how', 'will', 'it', 'super', 'impact', 'boost', 'real', 'estate', 'consumption', 'sectors', 'dipan', 'mehta', 'explains']
['add', 'prestige', 'estates', 'projects', 'target', 'price', 'rs', '382', 'icici', 'securities']
['vakrangee', 'shares', 'jump', '19', 'heres', 'why']
['a', 'deal', 'with', 'rakesh', 'jhunjhunwalas', 'new', 'airline', 'could', 'give', 'boeing', 'the', 'wings', 'it', 'badly', 'needs']
['pet', 'care', 'brand', 'heads', 'up', 'for', 'tails', 'gets', '37', 'million', 'in', 'series', 'a', 'funding']
['nearly', '10', 'interest', 'rate', 'on', 'ncd', 'nbfc', 'offering', 'investors', 'a', 'mouthwatering', 'deal']
['cummins', 'india', 'q1', 'results', 'net', 'profit', 'jumps', 'over', '3', 'fold', 'to', 'rs', '67', 'cr']
['against', 'the', 'odds', 'can', 'exports', 'of', '400', 'billion', 'be', 'the', 'saviour', 'for', 'indian', 'economy']
['buy', 'cadila', 'healthcare', 'target', 'price', 'rs', '670', 'motilal', 'oswal']
['neutral', 'on', 'india', 'cements', 'target', 'price', 'rs', '190', 'motilal', 'oswal']
['police', 'headquarters', 'falls', 'to', 'taliban', 'in', 'southern', 'afghanistan']
['whats', 'got', 'itcs', 'chairman', 'worried', 'despite', 'good', 'performance']
['buy', 'v', 'mart', 'retail', 'target', 'price', 'rs', '3920', 'motilal', 'oswal']
['messis', 'impending', 'arrival', 'drives', 'the', 'value', 'of', 'psgs', 'crypto', 'token']
['nearly', 'four', 'lakh', 'people', 'newly', 'displaced', 'in', 'afghanistan', 'by', 'conflict', 'since', 'start', 'of', 'year', 'united', 'nations']
['covid', '19', 'numbers', 'in', 'se', 'asia', 'plateaued', 'over', 'past', 'month', 'mainly', 'due', 'to', 'cases', 'in', 'india', 'remaining', 'stable', 'who']
['buy', 'power', 'grid', 'target', 'price', 'rs', '205', 'motilal', 'oswal']
['buy', 'cesc', 'target', 'price', 'rs', '890', 'motilal', 'oswal']
['parts', 'shortage', 'delay', 'in', 'model', 'launches', 'compel', 'royal', 'enfield', 'to', 'cut', 'output', 'plan']
['indias', 'drug', 'regulator', 'approves', 'study', 'on', 'mixing', 'of', 'covaxin', 'and', 'covishield', 'doses']
['nft', 'based', 'game', 'axie', 'infinity', 'hits', '1', 'billion', 'in', 'trade']
['buy', 'galaxy', 'surfactants', 'target', 'price', 'rs', '3620', 'motilal', 'oswalnbsp']
['covid', '19', 'active', 'cases', 'increase', 'to', '387987']
['hackers', 'return', '260', 'mn', 'to', 'cryptocurrency', 'platform', 'after', 'massive', 'theft']
