['the', 'revolutionary', 'talented', 'mr', 'kumar']
['consumer', 'companies', 'likely', 'to', 'see', 'high', 'single', 'digit', 'pay', 'hikes']
['scientists', 'have', 'genetically', 'tweaked', 'the', 'facial', 'acne', 'causing', 'bacteria', 'to', 'help', 'fight', 'pimples', 'instead']
['nitish', 'natural', 'ally', 'nda', 'will', 'sweep', 'ls', 'polls', 'bjp', 'president', 'nadda']
['coal', 'india', 'wcl', 'to', 'set', 'up', 'green', 'energy', 'projects', 'at', 'closed', 'mines', 'in', 'chhindwara', 'area', 'coal', 'secy']
['smile', '2', 'unmasking', 'the', 'horrifying', 'sequel', 'release', 'date', 'cast', 'and', 'more']
['reject', 'bjp', 'rss', 'that', 'divides', 'society', 'in', 'name', 'of', 'caste', 'and', 'opposes', 'constitution', 'siddaramaiah']
['people', 'will', 'give', 'befitting', 'reply', 'to', 'nitish', 'kumar', 'for', 'betrayal', 'oppn', 'parties']
['pm', 'emphasises', 'importance', 'of', 'ease', 'of', 'justice', 'says', 'simplification', 'and', 'modernisation', 'of', 'laws', 'use', 'of', 'tech', 'ai', 'will', 'ensure', 'it']
['british', 'navy', 'ship', 'repels', 'huthi', 'rebel', 'attack', 'minister']
['bihar', 'will', 'again', 'see', 'growth', 'propelled', 'by', 'double', 'engine', 'government', 'bjp']
['karnataka', 'cm', 'siddaramaiah', 'hits', 'out', 'at', 'bjp', 'after', 'it', 'seeks', 'to', 'make', 'issue', 'over', 'removal', 'of', 'hanuman', 'dwajin', 'mandya']
['nawaz', 'sharifs', 'gucci', 'cap', 'worth', 'over', '1', 'lakh', 'pkr', 'sparks', 'controversy', 'amidst', 'pakistans', 'economic', 'struggle']
['earthquake', 'of', '4', '0', 'magnitude', 'hits', 'gujarats', 'kutch', 'no', 'casualties']
['england', 'beat', 'india', 'by', '28', 'runs', 'in', 'first', 'test']
['pirates', 'of', 'the', 'caribbean', '6', 'jenna', 'ortega', 'speculation', 'unraveled', 'real', 'or', 'fake', 'beyond', 'the', 'horizon']
['amit', 'shah', 'to', 'launch', 'computerisation', 'projects', 'for', 'agri', 'rural', 'dev', 'banks', 'registrar', 'of', 'coop', 'societies']
['dmk', 'and', 'congress', 'vow', 'to', 'decimate', 'nda', 'and', 'win', 'all', 'seats', 'in', 'tamil', 'nadu']
['icc', 'lifts', 'ban', 'on', 'sri', 'lanka', 'cricket']
['will', 'tekken', '8', 'land', 'on', 'nintendo', 'switch', 'heres', 'what', 'you', 'need', 'to', 'know']
['we', 'tolerated', 'nitish', 'kumars', 'hindi', 'push', 'for', 'cordiality', 'in', 'india', 'bloc', 'says', 'dmk', 'leader', 'tr', 'baalu']
['netflixs', 'doctor', 'slump', 'episode', 'count', 'and', 'release', 'schedule', 'of', 'medical', 'drama', 'unveiled']
['governance', 'of', 'lord', 'ram', 'was', 'source', 'of', 'inspiration', 'for', 'constitution', 'makers', 'pm', 'modi']
['irb', 'infrastructure', 'trust', 'wins', 'rs', '1720', 'crore', 'arbitration', 'award']
['supreme', 'court', 'acted', 'as', 'constitutions', 'heart', 'and', 'soul', 'for', '74', 'years', 'justice', 'gavai']
['indian', 'mens', 'hockey', 'team', 'faces', '1', '5', 'defeat', 'against', 'netherlands', 'in', 'south', 'africa', 'tour', 'finale']
['government', 'industry', 'to', 'discuss', 'trade', 'regime', 'of', 'sensitive', 'goods', 'tech', 'on', 'january', '30']
['zerodha', 'ceo', 'nithin', 'kamath', 'reshares', 'hilarious', 'decade', 'old', 'prank', 'video', 'a', 'bollywood', 'thriller', 'style', 'office', 'raid']
['india', 'leading', 'top', '25', 'countries', 'in', 'defence', 'export', 'union', 'minister', 'ajay', 'bhatt']
['dissolution', 'of', 'india', 'bloc', 'now', 'certain', 'himanta', 'biswa', 'sarma']
['bro', 'achieves', 'breakthrough', 'of', '700', 'meter', 'long', 'naushera', 'tunnel', 'on', 'jammu', 'poonch', 'highway']
['up', 'government', 'working', 'on', 'minimum', 'wage', 'guarantee', 'for', 'sanitation', 'workers', 'cm', 'yogi', 'adityanath']
['ram', 'temple', 'in', 'ayodhya', 'can', 'withstand', 'once', 'in', '2500', 'year', 'quake', 'say', 'scientists']
['hazbin', 'hotel', 'season', '2', 'star', 'teases', 'recording', 'sessions', 'but', 'when', 'will', 'it', 'premiere']
['hatred', 'violence', 'being', 'spread', 'across', 'country', 'rahul', 'gandhi']
['congress', 'expects', 'to', 'win', 'between', '15', '20', 'seats', 'in', 'karnataka', 'in', 'ls', 'polls', 'siddaramaiah']
['nitish', 'kumar', 'will', 'go', 'down', 'in', 'political', 'history', 'as', 'great', 'paltu', 'ram', 'ncp']
['from', '22000', 'in', '2018', 'students', 'registered', 'for', 'pariksha', 'pe', 'charcha', 'reach', '2', '25', 'cr', 'pm', 'modi']
['new', 'champion', 'crowned', 'sinner', 'storms', 'back', 'to', 'beat', 'medvedev', 'in', 'australian', 'open', 'final']
['nda', 'govt', 'in', 'bihar', 'will', 'leave', 'no', 'stone', 'unturned', 'for', 'states', 'development', 'says', 'pm', 'modi']
['exploring', 'global', 'opportunities', 'aparajithas', 'expansion', 'plans', 'in', 'southeast', 'asia']
['red', 'sea', 'crisis', 'no', 'disruption', 'in', 'oil', 'flows', 'to', 'india', 'only', 'freight', 'up', 'hpcl', 'head']
['nitish', 'kumar', 'resignation', 'lalus', 'daughter', 'reacts', 'to', 'nitishs', 'old', 'video', 'of', 'would', 'die', 'then', 'join', 'nda', 'with', 'ram', 'ram', 'satye', 'calls', 'him', 'garbage']
['pnb', 'raises', 'profit', 'guidance', 'to', 'rs', '7000', 'cr', 'for', 'fy24']
['budget', '2024', 'finding', 'the', 'sweet', 'spot', 'for', 'vda', 'tax']
['9', 'pakistani', 'labourers', 'shot', 'dead', 'in', 'iran', 'pakistan', 'seeks', 'comprehensive', 'investigation']
['bihar', 'vijay', 'kumar', 'sinha', 'a', 'versatile', 'upper', 'caste', 'bjp', 'leader']
['budget', '2024', 'how', 'extending', 'concessional', 'corporate', 'tax', 'rate', 'can', 'boost', 'for', 'indias', 'manufacturing', 'ecosystem']
['nitish', 'kumar', 'takes', 'oath', 'as', 'bihar', 'cm']
['modi', 'govt', 'only', 'doing', 'politics', 'of', 'symbolism', 'with', 'regard', 'to', 'dalits', 'backwards', 'tribals', 'congress']
['karnataka', 'bank', 'to', 'raise', 'rs', '100', 'cr', 'equity', 'from', 'icici', 'lombard']
['descendants', '4', 'unraveling', 'the', 'mystery', 'release', 'date', 'cast', 'and', 'plot', 'details', 'revealed']
['kevin', 'pietersens', 'spot', 'on', 'prophecy', 'comes', 'true', 'as', 'england', 'wins', '1st', 'test', 'match', 'against', 'india', 'in', 'hyderabad']
['longer', 'disruptions', 'at', 'red', 'sea', 'trade', 'route', 'may', 'hurt', 'auto', 'electronics', 'production', 'gtri']
['nitish', 'kumar', 'sworn', 'in', 'as', 'bihar', 'cm', 'heres', 'the', 'full', 'list', 'of', 'cabinet', 'ministers', 'taking', 'oath', 'today']
['better', 'late', 'than', 'never', 'ramdas', 'athawale', 'on', 'nitish', 'kumars', 'switch', 'to', 'nda']
['macrotech', 'developers', 'to', 'launch', '11', 'projects', 'with', 'rs', '6260', 'cr', 'revenue', 'potential', 'in', 'march', 'qtr']
['ugc', 'suggests', 'de', 'reserving', 'scst', 'obc', 'posts', 'if', 'enough', 'reserved', 'candidates', 'not', 'available']
['nitish', 'kumar', 'should', 'be', 'honoured', 'with', 'girgit', 'ratna', 'tej', 'pratap', 'yadav']
['cji', 'says', 'judiciary', 'needs', 'to', 'begin', 'difficult', 'conversations', 'address', 'issues', 'of', 'adjournment', 'culture', 'long', 'vacations']
['majority', 'of', 'educators', 'call', 'for', 'govt', 'monitoring', 'of', 'ai', 'development', 'use', 'cases']
['bihar', 'political', 'turmoil', 'rjd', 'puts', 'out', 'ads', 'in', 'newspapers', 'thanking', 'tejaswi', 'yadav', 'for', 'his', 'contribution', 'as', 'deputy', 'm']
['dont', 'let', 'bjp', 'win', 'lok', 'sabha', 'polls', 'in', 'the', 'name', 'of', 'religion', 'cong', 'chief', 'kharge', 'at', 'rally']
['nda', 'to', 'form', 'govt', 'in', 'bihar', 'today', 'nitish', 'kumar', 'to', 'return', 'as', 'cm', 'for', '9th', 'time']
['aap', 'will', 'contest', 'all', 'assembly', 'seats', 'in', 'haryana', 'on', 'its', 'own', 'ls', 'polls', 'as', 'part', 'of', 'india', 'bloc', 'arvind', 'kejriwal']
['nitish', 'kumars', 'bihar', 'switch', 'shashi', 'tharoor', 'takes', 'dig', 'with', 'word', 'of', 'the', 'day', 'snollygoster']
['akhilesh', 'yadav', 'presented', 'alliance', 'model', 'to', 'counter', 'bjp', 'others', 'should', 'follow', 'sp']
['jdu', 'bjp', 'alliance', 'will', 'not', 'last', 'till', 'next', 'assembly', 'polls', 'in', 'bihar', 'prashant', 'kishor']
['teslas', 'elon', 'musk', 'position', 'as', 'richest', 'person', 'on', 'planet', 'dethroned', 'by', 'bernard', 'arnault', 'here', 'are', 'details']
['exports', 'from', 'kolkata', 'port', 'may', 'be', 'hit', 'due', 'to', 'soaring', 'freight', 'rate', 'rice', 'ban', 'geopolitical', 'turmoil']
['bihar', 'samrat', 'choudhary', 'obc', 'leader', 'whose', 'stock', 'rose', 'rapidly', 'upon', 'joining', 'bjp']
['jairam', 'ramesh', 'labels', 'nitish', 'kumar', 'expert', 'in', 'betraying']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'monday']
['tmc', 'flays', 'nitish', 'kumar', 'for', 'frequent', 'political', 'somersaults']
['india', 'to', 'assist', 'in', 'rescue', 'of', 'sri', 'lanka', 'fishermen', 'captured', 'by', 'somali', 'pirates', 'sri', 'lanka', 'navy']
['140', 'crore', 'indians', 'are', 'living', 'in', 'anyaay', 'kaal', 'imposed', 'by', 'bjp', 'congress']
['water', 'supply', 'to', 'be', 'shut', 'down', 'for', '16', 'hours', 'on', 'jan', '29', 'and', '30', 'delhi', 'jal', 'board']
['jdu', 'blames', 'congs', 'obduracy', 'for', 'india', 'bloc', 'collapse', 'in', 'bihar', 'targets', 'rahul']
['bihar', 'cm', 'nitish', 'kumar', 'resigns', 'may', 'join', 'nda', 'amid', 'rift', 'in', 'india', 'bloc']
['ai', 'model', 'developed', 'to', 'detect', 'extremist', 'users', 'isis', 'related', 'content', 'on', 'x']
['indias', 'gas', 'demand', 'to', 'rise', '6', 'in', '2024', 'iea']
['dont', 'approve', 'of', 'maharashtra', 'govts', 'decision', 'on', 'maratha', 'quota', 'union', 'minister', 'narayan', 'rane']
['as', 'nitish', 'kumar', 'submits', 'resignation', 'to', 'governor', 'old', 'video', 'of', 'him', 'saying', 'would', 'rather', 'die', 'than', 'go', 'to', 'nda', 'goes', 'viral', 'check', 'it', 'here']
['caste', 'census', 'is', 'first', 'step', 'towards', 'justice', 'rahul', 'gandhi']
['notice', 'to', 'french', 'journalist', 'for', 'violation', 'of', 'visa', 'rules', 'india', 'tells', 'france']
['nitish', 'kumars', 'exit', 'a', 'gain', 'for', 'india', 'bloc', 'says', 'dmk']
['red', 'sea', 'route', 'accounts', 'for', '50', 'countrys', 'exports', '30', 'of', 'imports', 'report']
['child', 'rape', 'cases', 'soar', 'by', '96', 'per', 'cent', 'from', '2016', 'to', '2022', 'due', 'to', 'higher', 'reporting', 'cry', 'analysis']
['youths', 'of', 'ayodhya', 'all', 'set', 'to', 'grab', 'boom', 'in', 'job', 'opportunities', 'post', 'ram', 'temple', 'opening']
['lodha', 'records', '179', 'on', 'year', 'rise', 'in', 'q3', 'net', 'profit', 'at', 'rs', '570', 'crore']
['jdu', 'blames', 'congs', 'obduracy', 'for', 'india', 'bloc', 'collapse', 'in', 'bihar', 'targets', 'rahul', 'gandhi']
['probability', 'favors', 'them', 'a', 'set', 'of', 'stocks', 'to', 'fulfill', 'the', 'desire', 'of', 'the', 'trader', 'and', 'investor', 'in', 'you']
['despite', 'warnings', 'people', 'continue', 'to', 'stop', 'their', 'cars', 'on', 'atal', 'setu', 'navi', 'mumbai', 'police', 'reacts']
['fed', 'rate', 'decision', 'could', 'be', 'the', 'prelude', 'to', 'a', 'march', 'cut']
['cong', 'reached', 'seat', 'sharing', 'understanding', 'with', 'some', 'alliance', 'partners', 'of', 'india', 'bloc', 'kharge']
['shri', 'ram', 'multicom', 'to', 'acquire', 'sarga', 'hotels', 'under', 'ibc']
['nitish', 'kumar', 'fourth', 'political', 'turnaround', 'in', 'last', '11', 'years', 'a', 'look', 'at', 'paltu', 'rams', 'political', 'career']
['state', 'revenue', 'grows', '5', 'till', 'nov', 'against', '17', '4', 'budgeted', 'for', 'fy24', 'report']
['pli', 'scheme', 'for', 'air', 'conditioners', 'a', 'game', 'changer', 'for', 'industry', 'panasonic', 'life', 'solutions']
['indigenous', 'communities', 'of', 'india', 'target', 'of', 'conversion', 'attempts', 'himanta', 'biswa', 'sarma']
['technical', 'breakout', 'stocks', 'how', 'to', 'trade', 'nbcc', 'bajaj', 'auto', 'and', 'indian', 'bank', 'on', 'monday']
['income', 'tax', 'saving', 'salaried', 'taxpayers', 'can', 'claim', 'deduction', 'of', 'up', 'to', 'rs', '3', '85', 'lakh', 'without', 'hra', 'home', 'loan']
['benefit', 'of', 'multiple', 'tailwinds', '6', 'largecap', 'stocks', 'from', 'different', 'sectors', 'with', 'right', 'roe', 'and', 'upside', 'potential', 'of', 'up', 'to', '24']
['congress', 'lashes', 'out', 'at', 'nitish', 'kumar', 'after', 'he', 'quits', 'as', 'bihar', 'cm', 'walks', 'out', 'of', 'mahagathbandhan']
['paltu', 'ram', 'chameleon', 'how', 'indi', 'alliance', 'partners', 'reacted', 'to', 'nitish', 'kumars', 'resignation']
['fpis', 'take', 'out', 'rs', '24700', 'cr', 'from', 'equities', 'on', 'rising', 'us', 'bond', 'yields']
['itc', 'q3', 'results', 'preview', 'pat', 'may', 'rise', '2', 'yoy', 'cigarette', 'sales', 'volume', 'seen', 'steady']
['ola', 'to', 'offer', 'electric', 'two', 'wheelers', 'starting', 'from', 'just', 'rs', '25', 'heres', 'all', 'you', 'need', 'to', 'know', 'about', 'olas', 'e', 'bike', 'service']
['gold', 'expected', 'to', 'remain', 'vulnerable', 'in', 'the', 'fomc', 'week']
['ott', 'industry', 'seeks', 'help', 'over', 'anti', 'tobacco', 'warning', 'regulations']
['fighter', 'triumphs', 'against', 'odds', 'hrithik', 'roshans', 'film', 'inches', 'close', 'to', 'rs', '100', 'cr', 'mark', 'in', '3', 'days']
['bihar', 'samrat', 'choudhary', 'elected', 'leader', 'of', 'bjp', 'legislative', 'party', 'vijay', 'sinha', 'deputy', 'leader']
['binny', 'bansal', 'resigns', 'from', 'flipkart', 'board', 'citing', 'conflict', 'with', 'new', 'venture']
['much', 'ado', 'about', 'ramkand', 'mool', 'the', 'pale', 'coloured', 'juicy', 'wood', 'lord', 'ram', 'feasted', 'on', 'may', 'not', 'have', 'originated', 'in', 'india']
['ceat', 'looks', 'to', 'grab', 'opportunity', 'in', 'replacement', 'tyre', 'market', 'growth', 'fuelled', 'by', 'pv', 'sales']
['nick', 'jonas', 'gets', 'warm', 'welcome', 'for', 'his', 'maiden', 'performance', 'at', 'lollapalooza', 'india']
['bajaj', 'finance', 'q3', 'preview', 'pat', 'may', 'rise', '26', 'yoy', 'led', 'by', 'robust', 'loan', 'growth', 'firm', 'margins']
['rbis', 'warning', 'on', 'exuberant', 'retail', 'lending', 'has', 'deeper', 'dimensions']
['as', 'many', 'as', '431', 'infrastructure', 'projects', 'show', 'cost', 'overrun', 'of', 'rs', '4', '82', 'lakh', 'crore', 'in', 'december']
['all', 'players', 'huddle', 'in', 'bihar', 'as', 'cm', 'nitish', 'kumar', 'readies', 'to', 'switch', 'sides']
['mcap', 'of', '7', 'of', 'top', '10', 'most', 'valued', 'firms', 'erode', 'by', 'rs', '1', '16', 'lakh', 'cr', 'hdfc', 'bank', 'biggest', 'laggard']
['stage', 'collapses', 'at', 'delhis', 'kalkaji', 'temple', 'woman', 'dead']
['charting', 'the', 'global', 'economy', 'red', 'sea', 'causes', 'the', 'biggest', 'diversion', 'of', 'international', 'trade', 'in', 'decades']
['rahul', 'gandhis', 'nyay', 'yatra', 'to', 'resume', 'after', 'two', 'day', 'break']
['q3', 'results', 'this', 'week', 'itc', 'adani', 'ports', 'bajaj', 'finance', 'indigo', 'sbi', 'tata', 'motors', 'and', 'others']
['expect', 'q4', 'to', 'be', 'a', 'decent', 'quarter', 'in', 'terms', 'of', 'growth', 'versus', 'q3', 'ceat', 'cfo']
['what', 'should', 'investors', 'look', 'for', 'when', 'searching', 'for', 'a', 'fund', 'with', 'high', 'aum']
['gurus', 'take', 'up', 'business', '101', 'c', 'suite', 'executives', 'seek', 'guidance', 'from', 'professional', 'coaching']
['top', 'suv', 'models', 'hit', 'new', 'high', 'cross', '1', 'lakh', 'sales', 'mark', 'in', '2023']
['us', 'fed', 'meet', 'interim', 'budget', 'q3', 'results', 'among', '9', 'factors', 'to', 'keep', 'd', 'street', 'busy', 'this', 'week']
['ipo', 'calendar', '6', 'new', 'issues', '10', 'listings', 'to', 'drive', 'primary', 'market', 'action', 'next', 'week']
['apac', 'businesses', 'to', 'nearly', 'triple', 'spends', 'on', 'genai', 'in', '2024', 'infosys', 'research']
['why', 'germany', 'is', 'launching', 'a', 'six', 'month', 'trial', 'of', '4', 'day', 'work', 'week', 'from', 'feb', '1']
['elon', 'musk', 'bernard', 'arnault', 'jeff', 'bezos', 'or', 'warren', 'buffett', 'who', 'will', 'be', 'worlds', 'first', 'trillionaire']
['nitish', 'kumars', 'u', 'turn', 'a', 'big', 'blow', 'to', 'india', 'bloc', 'unity', 'in', 'election', 'year']
['republic', 'day', 'gets', 'sales', 'salute', '25', 'boom', 'on', 'big', 'offers', 'spotlight', 'on', 'mid', 'premium', 'segment']
['what', 'artificial', 'intelligence', 'means', 'for', 'the', 'future', 'of', 'education']
['cryptocurrency', 'comeback', 'indian', 'exchanges', 'shine', 'amid', 'offshore', 'challenges']
['consent', 'of', 'passenger', 'is', 'pre', 'requisite', 'for', 'taking', 'face', 'biometric', 'jyotiraditya', 'scindia']
['writing', 'the', 'new', 'rules', 'for', 'ai']
['destiny', '2', 'trials', 'of', 'osiris', 'heres', 'all', 'about', 'map', 'rewards', 'and', 'changes', 'this', 'week']
['dev', 'patels', 'action', 'packed', 'monkey', 'man', 'draws', 'comparison', 'to', 'john', 'wick', 'franchise', 'all', 'you', 'may', 'want', 'to', 'know']
['arnold', 'schwarzeneggers', 'agent', 'state', 'farm', 'trailer', 'everything', 'you', 'may', 'want', 'to', 'know']
['nintendo', 'switch', '2', 'heres', 'everything', 'we', 'know', 'about', 'rumors', 'specifications', 'and', 'price']
['why', 'are', 'so', 'many', 'robots', 'white']
['india', 'cooperating', 'on', 'probe', 'into', 'khalistani', 'leader', 'nijjars', 'murder', 'says', 'former', 'canadian', 'nsa']
['hdfc', 'bank', 'shares', 'down', '13', 'in', '2', 'weeks', 'how', 'to', 'trade', 'now']
['optimistic', 'about', 'overall', 'growth', 'prospects', 'see', 'good', 'demand', 'environment', 'pidilite', 'md']
['shorts', 'vs', 'reels', 'the', 'battle', 'for', 'dominance', 'in', 'digital', 'content', 'landscape']
['budget', '2024', 'expectations', 'auto', 'companies', 'seek', 'continued', 'push', 'to', 'green', 'mobility', 'infrastructure', 'development']
['if', 'no', 'income', 'then', 'pay', 'by', 'working', 'as', 'allahabad', 'high', 'court', 'to', 'husband', 'on', 'monthly', 'maintenance', 'to', 'estranged', 'wife']
['utkarsh', 'small', 'finance', 'bank', 'q3', 'profit', 'jumps', '23', 'yoy', 'to', 'rs', '116', 'crore']
['skull', 'and', 'bones', 'open', 'beta', 'this', 'is', 'what', 'you', 'may', 'want', 'to', 'know']
