['govt', 'defers', 'eoi', 'deadline', 'for', 'air', 'india', 'divestment', 'to', 'august', 'end']
['priyankas', 'attack', 'on', 'up', 'govt', 'will', 'only', 'publicity', 'generate', 'employment']
['over', '90', 'of', 'sellers', 'back', 'on', 'platform', 'seeing', 'huge', 'traction', 'in', 'new', 'sign', 'ups', 'from', 'msmes', 'flipkart']
['realme', 'watch', 'review', 'a', 'worthwhile', 'companion', 'to', 'start', 'that', 'workout', 'schedule']
['health', 'ministry', 'adds', 'steroid', 'dexamethasone', 'in', 'covid', '19', 'treatment', 'protocol']
['gujarat', 'five', 'former', 'congress', 'mlas', 'join', 'bjp']
['sony', 'wh', 'ch710n', 'review', 'the', 'best', 'of', 'both', 'bass', 'and', 'treble', 'experience', 'all', 'day', 'long']
['locust', 'attack', 'delhi', 'environment', 'minister', 'calls', 'emergency', 'meeting']
['idbi', 'bank', 'to', 'divest', '27', 'stake', 'in', 'idbi', 'federal', 'life', 'insurance']
['up', 'madhyamik', 'shiksha', 'board', 'declares', 'class', '10', '12', 'results']
['covid', '19', 'triggering', 'panic', 'attacks', 'depression', 'in', 'indians', 'warn', 'experts']
['19', 'million', 'masks', '100000', 'liters', 'of', 'sanitizer', 'how', 'women', 'entrepreneurs', 'in', 'indias', 'hinterland', 'stayed', 'afloat', 'in', 'a', 'collapsing', 'economy']
['diagnostic', 'material', 'for', '4', '7', 'lakh', 'rt', 'pcr', 'tests', '50k', 'rapid', 'antigen', 'tests', 'given', 'free', 'to', 'delhi', 'by', 'icmr']
['in', 'addition', 'to', 'propaganda', 'china', 'uses', 'trade', 'to', 'coerce', 'compliance', 'with', 'its', 'dictates', 'us', 'nsa']
['china', 'will', 'have', 'to', 'pay', 'a', 'heavy', 'price', 'for', 'military', 'misadventure', 'in', 'eastern', 'ladakh', 'experts']
['shiv', 'sena', 'slams', 'bjp', 'over', 'rgf', 'donations', 'charge', 'amid', 'china', 'standoff']
['chinas', 'luckin', 'coffee', 'to', 'delist', 'from', 'nasdaq']
['sushant', 's', 'rajputs', 'family', 'set', 'up', 'foundation', 'to', 'honour', 'him', 'say', 'cant', 'accept', 'that', 'wont', 'hear', 'his', 'easy', 'laughs', 'anymore']
['3ps', 'can', 'decide', 'if', 'you', 'should', 'buy', 'a', 'stock', 'on', 'promoters', 'stake', 'hike']
['is', 'insuring', 'cab', 'ride', 'bicycle', 'mobile', 'cyber', 'safety', 'useful']
['delhi', 'waging', 'difficult', 'war', 'against', 'covid', '19', 'will', 'emerge', 'victorious', 'with', 'time', 'kejriwal']
['pakistan', 'has', 'conveyed', 'its', 'readiness', 'to', 'india', 'to', 'reopen', 'kartarpur', 'corridor', 'from', 'monday', 'foreign', 'office']
['insurers', 'to', 'offer', 'indemnity', 'based', 'standard', 'coronavirus', 'health', 'cover', 'should', 'you', 'get', 'one']
['trump', 'makes', 'vandalising', 'national', 'monuments', 'punishable', 'offence', 'with', 'up', 'to', '10', 'yrs', 'jail']
['russia', 'agrees', 'to', 'look', 'at', 'advancing', 's', '400', 'delivery']
['telangana', 'holds', 'private', 'labs', 'responsible', 'for', 'a', 'spike', 'in', 'covid', '19', 'cases']
['veteran', 'bjp', 'leader', 'yashwant', 'sinha', 'enters', 'bihar', 'polls', 'fray', 'announces', 'a', 'new', 'front']
['trump', 'grateful', 'for', 'indian', 'americans', 'support', 'white', 'house']
['mm', 'may', 'need', 'lenders', 'nod', 'to', 'cede', 'control', 'at', 'ssangyong']
['indian', 'it', 'firms', 'cash', 'in', 'on', 'back', 'to', 'work', 'solutions']
['world', 'msme', 'day', 'small', 'businesses', 'deserve', 'genuine', 'support', 'to', 'return', 'to', 'vibrancy']
['covid', '19', 'disruption', 'an', 'opportunity', 'for', 'firms', 'to', 're', 'strategise', 'ubi', 'chief']
['maxwholesale', 'assists', 'employees', 'with', 'special', 'initiatives', 'amidst', 'the', 'pandemic']
['market', 'approaching', 'an', 'intermediate', 'top', 'conserve', 'cash', 'stay', 'on', 'sidelines']
['the', 'simpsons', 'will', 'no', 'longer', 'have', 'white', 'actors', 'voicing', 'characters', 'of', 'colour']
['wall', 'street', 'ends', 'lower', 'as', 'coronavirus', 'surge', 'prompts', 'renewed', 'restrictions']
['oil', 'settles', 'lower', 'on', 'rise', 'in', 'us', 'coronavirus', 'cases']
['rahul', 'targets', 'govt', 'pm', 'for', 'having', 'no', 'plan', 'to', 'defeat', 'virus', 'as', 'covid', 'cases', 'surge', 'past', '5', 'lakh', 'mark']
['investors', 'eye', 'economic', 'data', 'stimulus', 'measures', 'as', 'stocks', 'rally', 'stalls']
['justin', 'bieber', 'files', '20', 'mn', 'defamation', 'lawsuit', 'against', 'two', 'women', 'accusing', 'him', 'of', 'sexual', 'misconduct']
['delhi', 'apprises', 'world', 'capitals', 'of', 'lac', 'action', 'plas', 'buildup']
['wall', 'street', 'falls', 'at', 'open', 'as', 'virus', 'cases', 'surge', 'banks', 'fall']
['petrol', 'price', 'up', '25', 'paise', 'diesel', '21', 'paise', 'rates', 'hiked', 'by', 'rs', '9', '12', 'rs', '11', '01', 'in', '3', 'weeks']
['accenture', 'q3', 'adds', 'to', 'positives', 'for', 'it', 'stocks']
['iim', 'a', 'iim', 'b', 'to', 'go', 'online', 'for', 'first', 'semester']
['facebook', 'ad', 'boycott', 'sinks', 'stock', 'raises', 'pressure', 'on', 'mark', 'zuckerberg']
['thackeray', 'writes', 'to', 'pm', 'urging', 'cancellation', 'of', 'professional', 'exams']
['out', 'of', 'the', 'box', 'lunar', 'loos']
['us', 'states', 'reimpose', 'virus', 'restrictions', 'asia', 'sees', 'new', 'cases']
['exclusive', 'mental', 'health', 'webinar', 'professionals', 'must', 'draw', 'work', 'life', 'boundaries', 'in', 'wfh', 'modebreathing', 'exercise', 'most', 'effective', 'tool', 'to', 'deal', 'with', 'anxiety']
['view', 'india', 'needs', 'to', 'turn', 'covid', 'into', 'an', 'opportunity', 'for', 'msmes', 'to', 'flourish']
['12', 'hour', 'night', 'curfew', 'in', 'assam', 'from', 'friday', '14', 'day', 'complete', 'lockdown', 'in', 'guwahati', 'himanta', 'biswa', 'sarma']
['ed', 'contests', 'polices', 'all', 'clear', 'to', 'goyal', 'jet', 'air', 'in', 'cheating', 'case']
['majority', 'of', 'mlas', 'against', 'lockdown', 'in', 'bengaluru', 'karnataka', 'govt']
['stock', 'rally', 'may', 'continue', 'fears', 'of', 'new', 'virus', 'wave', 'premature', 'christopher', 'wood']
['from', 'boardroom', 'to', 'classroom', 'professionals', 'warm', 'up', 'to', 'teaching']
['view', 'need', 'for', 'national', 'outlook', 'for', 'national', 'security', 'approach']
['financial', 'lessons', 'from', 'satyabhama']
['panel', 'include', 'bed', 'availability', 'in', 'aarogya', 'setu']
['home', 'secretary', 'holds', 'review', 'meeting', 'on', 'delhi', 'covid', 'scene']
['india', 'inc', 'ropes', 'in', 'sleuths', 'to', 'plug', 'data', 'leaks', 'by', 'disgruntled', 'ex', 'staff']
['online', 'sales', 'help', 'auctioneers', 'of', 'pre', 'owned', 'embassy', 'goods', 'sail', 'through', 'this', 'pandemic']
['relief', 'likely', 'in', 'physical', 'checks', 'of', 'chinese', 'cargo']
['i', 'am', 'indira', 'gandhis', 'granddaughter', 'priyanka', 'gandhi', 'dares', 'up', 'government']
['monsoon', 'covers', 'entire', 'country', 'two', 'weeks', 'ahead', 'of', 'normal']
['countering', 'chinas', 'aggression', 'us', 'bill', 'seeks', 'to', 'train', 'indian', 'fighter', 'pilots']
['india', 'keeps', 'vigilant', 'eye', 'on', 'pok', 'as', 'chinese', 'air', 'activity', 'increases']
['migrant', 'workers', 'start', 'returning', 'to', 'their', 'place', 'of', 'work', 'railway', 'board', 'chairman']
['after', 'hul', 'loreal', 'to', 'drop', 'the', 'words', 'white', 'light', 'fair']
['view', 'its', 'time', 'to', 'give', 'military', 'angle', 'to', 'quad']
['crucial', 'to', 'keep', 'home', 'away', 'from', 'work', 'from', 'home', 'experts']
['covid', 'strikes', 'motown', '140', 'test', 'positive', 'in', 'bajaj', 'autos', 'aurangabad', 'plant']
['amateur', 'traders', 'pile', 'into', 'asian', 'stocks', 'making', 'the', 'pros', 'nervous']
['feds', 'bostic', 'warns', 'of', 'pain', 'with', 'summer', 'end', 'to', 'government', 'aid']
['drug', 'makers', 'urge', 'commerce', 'ministry', 'to', 'clear', 'stuck', 'imports']
['chinas', 'actions', 'in', 'ladakh', 'part', 'of', 'large', 'scale', 'military', 'provocations', 'against', 'neighbours', 'us', 'lawmaker']
['regulate', 'medical', 'devices', 'in', 'phased', 'manner', 'companies']
['swarms', 'of', 'desert', 'locusts', 'attack', 'gurugram']
['crop', 'sowing', 'doubles', 'from', 'last', 'year']
['if', 'rgf', 'returns', 'rs', '20', 'l', 'will', 'pm', 'assure', 'country', 'that', 'china', 'will', 'vacate', 'indian', 'territory', 'chidambaram']
['i', 'squared', 'capital', 'gmr', 'among', 'players', 'to', 'apply', 'for', 'station', 'redevelopment']
['imfs', 'georgieva', 'says', 'virus', 'crisis', 'could', 'ultimately', 'test', '1', 'trillion', 'war', 'chest']
['carlyle', 'group', 'to', 'buy', '20', 'stake', 'in', 'piramal', 'pharma', 'for', 'over', '3700', 'crore']
['adani', 'transmission', 'takes', 'over', 'kharghar', 'vikhroli', 'transmission', 'project']
['mumbai', 'attack', 'convict', 'headley', 'cannot', 'be', 'extradited', 'to', 'india', 'rana', 'faces', 'extradition', 'us', 'attorney']
