['rmz', 'set', 'to', 'acquire', 'large', 'land', 'parcel', 'in', 'gurgaon']
['can', 'gold', 'continue', 'to', 'rise', 'as', 'inflation', 'war', 'concerns', 'linger']
['arjun', 'ram', 'meghwal', 'narrowly', 'escapes', 'mishap', 'in', 'agra']
['karauli', 'violence', 'script', 'written', 'elsewhere', 'union', 'minister', 'giriraj', 'singh']
['10', 'year', 'old', 'aspiring', 'athlete', 'runs', 'from', 'prayagraj', 'to', 'lucknow', 'meets', 'cm']
['senior', 'leader', 'ks', 'eshwarappa', 'to', 'skip', 'karnataka', 'bjp', 'executive', 'meet']
['software', 'exports', 'grow', 'to', 'rs', '1761', 'cr', 'from', '4', 'indore', 'it', 'sezs']
['itc', 'among', 'kunal', 'bothras', 'top', 'stock', 'picks', 'for', 'next', 'week']
['top', 'congress', 'leaders', 'meet', 'at', 'residence', 'of', 'party', 'president', 'sonia', 'gandhi']
['twitter', 'adopts', 'poison', 'pill', 'defense', 'against', 'musk', 'buyout', 'bid']
['rss', 'worker', 'hacked', 'to', 'death', 'in', 'kerala']
['southwest', 'monsoon', 'in', 'india', 'as', 'a', 'whole', 'likely', 'to', 'be', 'normal', 'imd']
['etmarkets', 'smart', 'take', 'ril', 'can', 'touch', 'rs', '3000', 'in', 'near', 'term', 'add', 'vedanta', 'at', 'current', 'levels', 'mohit', 'nigam', 'hem', 'securities']
['ettech', 'explained', 'twitter', 'pops', 'a', 'poison', 'pill', 'against', 'musk', 'hostile', 'takeover', 'bid', 'what', 'does', 'that', 'mean']
['manipur', 'biren', 'singh', 'expands', 'cabinet', '6', 'more', 'ministers', 'sworn', 'in']
['bcci', 'issues', 'bid', 'document', 'for', 'ipl', 'closing', 'ceremony']
['covid', 'among', 'kids', 'health', 'experts', 'say', 'no', 'need', 'to', 'panic']
['india', 'cant', 'afford', 'to', 'remain', 'stagnant', 'at', 'this', 'juncture', 'says', 'pm', 'modi']
['country', 'has', 'moved', 'away', 'from', 'token', 'solution', 'to', 'total', 'solution', 'in', 'healthcare', 'sector', 'mansukh', 'mandaviya']
['bengal', 'by', 'polls', 'tmc', 'candidates', 'ahead', 'in', 'asansol', 'ballygunge', 'after', 'initial', 'rounds', 'of', 'counting']
['egypt', 'approves', 'india', 'as', 'wheat', 'supplier', 'piyush', 'goyal']
['work', 'on', 'to', 'restore', 'mumbai', 'suburban', 'train', 'services', 'hit', 'by', 'puducherry', 'express', 'derailment']
['five', 'of', 'family', 'found', 'murdered', 'in', 'up', 'sp', 'says', 'state', 'has', 'drowned', 'in', 'crime', 'under', 'bjp', '2', '0']
['anil', 'kapoor', 'thanks', 'delhi', 'police', 'for', 'solving', 'robbery', 'case', 'at', 'daughter', 'sonams', 'delhi', 'home', 'praises', 'their', 'hard', 'work']
['swiggy', 'leads', '180', 'million', 'funding', 'round', 'in', 'rapido', 'bike', 'taxi', 'startup', 'valued', 'at', '830', 'million', 'post', 'investment']
['hdfc', 'bank', 'q4', 'results', 'profit', 'jumps', '23', 'yoy', 'to', 'rs', '10055', 'crore', 'nii', 'rises', '10']
['atf', 'price', 'up', 'marginally', 'rates', 'at', 'record', 'high']
['fuel', 'sales', 'fall', 'in', 'april', 'on', 'high', 'prices']
['maha', 'assembly', 'bypoll', 'congress', 'retains', 'kolhapur', 'north', 'seat', 'by', 'over', '18000', 'votes']
['maharashtra', 'minister', 'points', 'to', 'impending', 'coal', 'power', 'crisis']
['people', 'do', 'not', 'want', 'politics', 'of', 'hatred', 'says', 'maharashtra', 'congress', 'chief']
['how', 'hypersonic', 'missiles', 'work', 'and', 'the', 'unique', 'threats', 'they', 'pose', 'an', 'aerospace', 'engineer', 'explains']
['rajs', 'statements', 'on', 'loudspeakers', 'atop', 'mosques', 'will', 'soon', 'bring', 'owaisi', 'into', 'picture', 'says', 'maha', 'ncp', 'chief']
['listening', 'speaking', 'from', 'the', 'heart', 'pooja', 'bhatt', 'shares', 'an', 'adorable', 'photo', 'of', 'ranbir', 'kapoor', 'hugging', 'his', 'father', 'in', 'law']
['amid', 'covid', 'uptick', 'up', 'puts', 'ncr', 'districts', 'on', 'alert', 'mode']
['ukrainian', 'president', 'says', 'up', 'to', '3000', 'troops', 'killed', 'so', 'far', 'new', 'explosions', 'hit', 'cities']
['community', 'grocery', 'buying', 'the', 'next', 'big', 'thing', 'in', 'retail']
['cornerstone', 'properties', 'vsr', 'in', 'equal', 'jv', 'to', 'float', 'residential', 'development', 'firm']
['planning', 'to', 'buy', 'airpods', 'you', 'will', 'need', 'to', 'pay', 'extra', 'as', 'apple', 'hikes', 'prices']
['kaynes', 'technology', 'files', 'papers', 'with', 'sebi', 'to', 'raise', 'funds', 'via', 'ipo']
['pim', 'van', 'vliets', 'tips', 'on', 'how', 'to', 'generate', 'market', 'beating', 'returns', 'by', 'taking', 'lower', 'risk']
['indias', 'warm', 'vaccine', 'candidate', 'effective', 'against', 'delta', 'omicron', 'variants', 'in', 'mice', 'study']
['in', 'fresh', 'decree', 'taliban', 'ban', 'wearing', 'neckties', 'in', 'schools', 'in', 'afghanistan']
['chhattisgarh', 'congress', 'leading', 'in', 'bypoll', 'to', 'khairagarh', 'assembly', 'seat']
['if', 'the', 'current', 'drop', 'in', 'enrollment', 'continues', 'government', 'schools', 'will', 'soon', 'be', 'empty', 'says', 'assam', 'cm']
['flipkart', 'invests', '116', 'million', 'in', 'fashion', 'retailer', 'myntra', 'amid', 'challenge', 'from', 'reliance', 'nykaa']
['raj', 'thackerays', 'mns', 'asks', 'sanjay', 'raut', 'to', 'shut', 'his', 'loudspeaker', 'over', 'owaisi', 'remark']
['stagflation', 'have', 'the', 'central', 'banks', 'scheduled', 'a', 'rerun', 'of', 'that', '70s', 'show']
['biden', 'nominates', 'indian', 'american', 'diplomat', 'rachna', 'sachdeva', 'korhonen', 'as', 'his', 'envoy', 'for', 'mali']
['does', 'crypto', 'have', 'a', 'future', 'in', 'india']
['sri', 'lanka', 'stock', 'exchange', 'to', 'halt', 'for', 'five', 'days', 'from', 'april', '18']
['india', 'risks', 'widespread', 'blackouts', 'this', 'summer']
['long', 'covid', 'breathlessness', 'eye', 'problem', 'muscle', 'weakness', 'dementia', 'most', 'common', 'symptoms', 'say', 'docs']
['india', 'records', '975', 'fresh', 'covid', '19', 'cases', 'four', 'more', 'deaths']
['post', 'office', 'savings', 'account', 'how', 'to', 'activate', 'internet', 'banking', 'and', 'mobile', 'banking']
['zomato', 'defers', 'food', 'safety', 'policy', 'to', 'may', '3', 'fssai', 'supports', 'new', 'rules']
['shang', 'chi', 'star', 'menger', 'zhang', 'joins', 'henry', 'cavill', 'for', 'the', 'witcher', 'season', '3']
['biomaterials', 'platform', 'mynusco', 'to', 'fight', 'climate', 'change']
['midcaps', 'vs', 'largecaps', 'where', 'should', 'you', 'bet', 'as', 'market', 'outlook', 'turns', 'foggy']
['delivery', 'of', 'second', 's', '400', 'squadron', 'could', 'see', 'a', 'slight', 'delay', 'due', 'to', 'russia', 'ukraine', 'war']
['prepare', 'the', 'best', 'easter', 'breakfast', 'combo', 'with', 'hot', 'cross', 'buns', 'kiwi', 'mocktail']
['director', 'parambrata', 'excited', 'about', 'abhijaan', 'says', 'chronicling', 'soumitra', 'chatterjees', 'journey', 'wasnt', 'easy']
['commodity', 'markets', 'should', 'be', 'tracked', 'for', 'macro', 'risks']
['china', 'lockdowns', 'worry', 'businesses', 'as', 'shipping', 'uncertainty', 'grows']
['buyout', 'firm', 'thoma', 'bravo', 'approaches', 'twitter', 'with', 'acquisition', 'interest']
['necessary', 'burden', 'why', 'ecommerce', 'returns', 'are', 'proving', 'to', 'be', 'a', 'billion', 'dollar', 'headache', 'for', 'the', 'industry']
['covid', 'cases', 'surge', 'in', 'maharashtra', 'delhi', 'ncr', 'haryana']
['jio', 'airtel', 'likely', 'to', 'see', 'rapid', 'revenue', 'market', 'share', 'gains', 'after', '5g', 'auction']
['three', 'chinese', 'astronauts', 'return', 'to', 'earth', 'after', 'six', 'months', 'in', 'space']
['maha', 'vikas', 'aghadi', 'plans', 'non', 'nda', 'parties', 'meet', 'to', 'fight', 'against', 'misuse', 'of', 'central', 'probe', 'agencies']
['harsh', 'vardhan', 'shringla', 'talks', 'joint', 'production', 'of', 'defence', 'items', 'with', 'us', 'congress', 'team']
['pakistan', 'under', 'rs', '60', 'billion', 'burden', 'as', 'prime', 'minister', 'sharif', 'rejects', 'proposal', 'for', 'fuel', 'hike']
['protesters', 'call', 'rajapaksa', 'government', 'tyrannous', 'full', 'of', 'nepotism', 'as', 'protests', 'continue', 'in', 'colombo']
['kashmiri', 'pandits', 'say', 'situation', 'like', '1990s', 'in', 'the', 'valley', 'administration', 'not', 'providing', 'enough', 'security']
['after', 'meteoric', 'rise', 'ayurveda', 'products', 'losing', 'momentum']
['race', 'for', 'evs', 'japanese', 'carmakers', 'go', 'middle', 'of', 'the', 'road']
['lic', 'ipo', 'centre', 'wooing', 'sovereign', 'pension', 'funds']
['thumbing', 'through', 'the', 'history', 'of', 'handprints']
['crisis', 'hit', 'sri', 'lanka', 'seeks', 'indias', 'help', 'for', 'cooking', 'gas', 'supply']
['import', 'cover', 'of', 'forex', 'reserves', 'shrinks', '30', 'percent', 'in', 'fy22']
['view', 'modern', 'management', 'is', 'essentially', 'violent', 'as', 'it', 'is', 'based', 'on', 'consumption']
['shivpal', 'yadav', 'dissolves', 'party', 'sparks', 'rumour', 'of', 'joining', 'bjp']
['7', 'stocks', 'rally', '10', '23', 'even', 'as', 'bse500', 'declines', 'in', 'all', '3', 'sessions', 'this', 'week']
['apple', 'others', 'face', 'shipment', 'delays', 'on', 'china', 'covid', 'squeeze']
['31', 'of', '36', 'designated', 'as', 'terrorists', 'under', 'amended', 'uapa', 'in', 'pakistan']
['cbi', 'plans', 'to', 'conduct', 'dna', 'tests', 'in', 'hanskhali', 'rape', 'case']
['bhagwant', 'mann', 'government', 'announces', '300', 'units', 'of', 'free', 'power', 'for', 'punjab', 'from', 'july', '1']
['chris', 'wood', 'thinks', 'its', 'time', 'for', 'rbi', 'to', 'start', 'tightening']
['virus', 'moving', 'with', 'india', 'on', 'the', 'move', 'worry', 'not']
['what', 'elon', 'musks', 'hostile', 'takeover', 'bid', 'for', 'twitter', 'really', 'means']
['producer', 'actress', 'manju', 'singh', 'of', 'swaraj', 'adhikar', 'fame', 'passes', 'away', 'at', '73']
['moscow', 'to', 'increase', 'missile', 'strikes', 'on', 'kyiv', 'targets']
['ranbir', 'alias', 'wedding', 'all', 'about', 'cousins', 'and', 'camaraderie']
['parliamentary', 'panel', 'for', 'providing', 'credit', 'card', 'to', 'msme', 'entrepreneurs']
['draft', 'guidelines', 'for', 'uniform', 'right', 'of', 'way', 'to', 'boost', 'telecom', 'infra']
['elon', 'musks', 'bid', 'spotlights', 'twitters', 'unique', 'role', 'in', 'public', 'discourse', 'and', 'what', 'changes', 'might', 'be', 'in', 'store']
['up', 'government', 'mulls', '100', 'day', 'plan', 'to', 'take', '50000', 'additional', 'stray', 'cattle', 'off', 'roads']
['india', 'should', 'expand', 'use', 'of', 'electricity', 'from', 'renewable', 'sources']
['rahul', 'tripathi', 'aiden', 'markram', 'help', 'hyderabad', 'to', 'hat', 'trick', 'of', 'ipl', 'wins']
['centres', 'emissary', 'to', 'meet', 'nscn', 'im', 'nnpgs', 'leaders']
['india', 'receives', 'simulators', 'equipment', 'for', 's', '400', 'training', 'squadron', 'from', 'russia']
['maharashtra', 'parties', 'banking', 'on', 'religion', 'to', 'woo', 'voters']
['pm', 'modi', 'to', 'inaugurate', 'global', 'ayush', 'investment', 'innovation', 'summit', 'in', 'gandhinagar', 'on', 'april', '20']
['how', 'nations', 'fare', 'as', 'inflation', 'rages', 'through', 'the', 'world']
