['purvanchal', 'the', 'real', 'test', 'for', 'allies', 'of', 'both', 'bjp', 'and', 'sp', 'in', 'up', 'polls']
['up', 'elections', 'final', 'phase', 'of', 'polling', 'in', 'uttar', 'pradesh', 'on', 'monday']
['west', 'bengal', 'bjp', 'leaders', 'chalk', 'out', 'future', 'strategy', 'in', 'face', 'of', 'continuous', 'exodus']
['cci', 'dismisses', 'complaints', 'against', 'shopee', 'amazon']
['more', 'than', '559', 'people', 'detained', 'at', 'anti', 'war', 'protests', 'in', 'russia', 'protest', 'monitor']
['parliament', 'dumbed', 'down', 'to', 'mps', 'discussing', 'local', 'issues', 'instead', 'of', 'national', 'security', 'matters', 'congress', 'mp']
['11', 'injured', 'as', 'terrorists', 'hurl', 'grenade', 'at', 'security', 'forces', 'in', 'jks', 'srinagar']
['ukraine', 'crisis', 'uk', 'prime', 'minister', 'boris', 'johnson', 'outlines', 'six', 'point', 'plan']
['family', 'support', 'strong', 'factor', 'in', 'indian', 'diaspora', 'success', 'in', 'uk', 'report']
['11', 'injured', 'as', 'terrorists', 'hurl', 'grenade', 'at', 'security', 'forces', 'in', 'jks', 'srinagar']
['wazirx', 'is', 'celebrating', 'its', 'fourth', 'birthday', 'with', 'discounts', 'on', 'merchandise', 'and', 'bumper', 'prizes', 'worth', 'four', 'crore']
['for', 'me', 'ravichandran', 'ashwin', 'is', 'an', 'all', 'time', 'great', 'who', 'keeps', 'on', 'getting', 'better', 'rohit', 'sharma']
['pm', 'modi', 'inaugurates', 'art', 'gallery', 'dedicated', 'to', 'cartoonist', 'r', 'k', 'laxman', 'kin', 'say', 'dream', 'comes', 'true']
['west', 'bengal', 'bans', 'net', 'services', 'on', 'class', '10', 'board', 'exam', 'days', 'in', 'some', 'areas', 'to', 'stop', 'cheating']
['russian', 'banks', 'may', 'issue', 'cards', 'with', 'chinas', 'unionpay', 'as', 'visa', 'mastercard', 'cut', 'links']
['some', 'leaders', 'blaming', 'wb', 'bjp', 'top', 'brass', 'for', 'civic', 'poll', 'fiasco', 'after', 'evading', 'responsibility', 'dilip', 'ghosh']
['top', 'order', 'has', 'to', 'score', 'runs', 'in', 'a', 'big', 'tournament', 'like', 'this', 'mithali', 'raj']
['ram', 'charan', 'company', 'to', 'supply', 'chargers', 'to', 'olympic', 'gold', 'medallist', 'usain', 'bolts', 'ev', 'venture']
['karnataka', 'govt', 'approves', '48', 'industrial', 'projects', 'worth', 'rs', '2062', 'cr']
['fratricidal', 'incident', 'five', 'bsf', 'personnel', 'killed', 'in', 'amritsar', 'camp']
['trade', 'setup', 'nifty', 'may', 'stage', 'a', 'technical', 'pullback', 'any', 'time', 'avoid', 'shorts']
['bcci', 'announces', 'schedule', 'for', 'tata', 'ipl', '2022', 'chennai', 'kolkata', 'to', 'clash', 'in', 'opener']
['ukraine', 'civilians', 'race', 'to', 'evacuate', 'under', '11', 'hour', 'cease', 'fire']
['australian', 'government', 'confirms', 'state', 'funeral', 'for', 'shane', 'warne']
['nirmala', 'sitharamans', 'dream', 'project', 'takes', 'off', 'in', 'mysuru', 'a', 'rs', '81', 'cr', 'planetarium']
['completion', 'of', 'important', 'projects', 'used', 'to', 'take', 'long', 'time', 'for', 'decades', 'pm', 'modi', 'says', 'speed', 'and', 'scale', 'key', 'to', 'build', 'infra']
['braithwaite', 'bets', 'on', 'domestic', 'demand', 'for', 'wagons', 'after', 'ukraine', 'conflict', 'hits', 'export', 'bid']
['sap', 'to', 'double', 'contribution', 'from', 'india']
['ukraine', 'crisis', 'aviation', 'ministry', 'says', '8', 'flights', 'to', 'bring', 'back', 'over', '1500', 'indians', 'on', 'monday']
['us', 'considering', 'sending', 'planes', 'to', 'poland', 'if', 'warsaw', 'sends', 'fighter', 'jets', 'to', 'ukraine', 'says', 'blinken']
['covid', 'govt', 'panel', 'recommends', 'permission', 'for', 'phase', '3', 'trial', 'of', 'covovax', 'as', 'booster', 'dose', 'in', 'adults']
['ganna', 'kisan', 'noodles', 'bowl', 'ice', 'cream', 'eclectic', 'mix', 'of', 'poll', 'symbols', 'in', 'delhi', 'civic', 'polls']
['on', 'mission', 'hungry', 'for', 'cargo', 'railways', 'mapping', 'mining', 'districts', 'for', 'higher', 'freight', 'transport', 'share']
['albania', 'renames', 'street', 'in', 'capital', 'tirana', 'as', 'free', 'ukraine']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'monday']
['modi', 'attributes', 'operation', 'ganga', 'success', 'to', 'indias', 'growing', 'influence']
['time', 'to', 'form', 'iron', 'government', 'of', 'bsp', 'in', 'uttar', 'pradesh', 'mayawati']
['pm', 'modis', 'personal', 'ties', 'with', 'leaders', 'of', 'ukraines', 'neighbours', 'made', 'evacuation', 'possible', 'yogi', 'adityanath']
['the', 'week', 'that', 'was', 'crude', 'shock', 'leaves', 'market', 'teetering', 'these', '10', 'stocks', 'were', 'in', 'focus']
['hybrid', 'security', 'model', 'of', 'cisf', 'private', 'agencies', 'required', 'in', 'future', 'amit', 'shah']
['escaping', 'ukraine', 'becomes', 'costly', 'ordeal', 'for', 'indian', 'students', 'as', 'bus', 'fares', 'skyrocket']
['talk', 'of', 'russian', 'nuclear', 'escalation', 'is', 'rhetoric', 'and', 'brinkmanship', 'uks', 'dominic', 'raab']
['more', 'indian', 'students', 'opting', 'for', 'canada', 'over', 'us', 'due', 'to', 'pro', 'immigration', 'policies']
['from', 'bombarded', 'basement', 'mariupol', 'mayor', 'tries', 'to', 'help', 'besieged', 'residents', 'flee']
['unnecessary', 'comments', 'made', 'by', 'some', 'people', 'holding', 'high', 'posts', 'says', 'ajit', 'pawar', 'in', 'presence', 'of', 'pm', 'modi', 'maha', 'guv']
['admit', 'ukraine', 'returned', 'students', 'to', 'indian', 'medical', 'colleges', 'at', 'government', 'expense', 'digvijaya', 'singh']
['indian', 'embassy', 'asks', 'indians', 'still', 'stranded', 'in', 'ukraine', 'to', 'fill', 'up', 'online', 'form']
['assembly', 'poll', 'results', 'to', 'have', 'bearing', 'on', 'presidents', 'election', 'due', 'later', 'this', 'year']
['is', 'a', 're', 'rating', 'in', 'the', 'offing', 'for', 'consumer', 'electrical', 'stocks']
['indian', 'medical', 'students', 'abroad', 'join', 'forces', 'to', 'help', 'peers', 'stranded', 'in', 'war', 'torn', 'ukraine']
['rush', 'of', 'political', 'leaders', 'at', 'kashi', 'vishwanath', 'temple', 'in', 'final', 'phase', 'of', 'up', 'polls']
['india', 'begins', 'last', 'leg', 'of', 'operation', 'ganga', 'asks', 'students', 'to', 'reach', 'hungarian', 'city', 'center', 'between', '10', 'am', '12', 'pm']
['ashwin', 'equals', 'kapils', '434', 'wickets', 'as', 'india', 'close', 'in', 'on', 'innings', 'victory']
['pm', 'modi', 'inaugurates', 'pune', 'metro', 'rail', 'project']
['how', 'to', 'manage', 'volatility', 'in', 'your', 'portfolio', 'amid', 'war', 'and', 'crude', 'shocker']
['how', 'cryptocurrency', 'is', 'proving', 'to', 'be', 'a', 'double', 'edged', 'sword', 'in', 'ukraine', 'war']
['iss', 'facility', 'services', 'india', 'aims', 'to', 'double', 'revenue', 'to', 'rs', '2500', 'cr', 'by', '2025', 'to', 'hire', '25000', 'in', '2', 'yrs']
['polling', 'underway', 'for', 'panchayats', 'port', 'blair', 'civic', 'body', 'in', 'andaman', 'and', 'nicobar', 'islands']
['south', 'korea', 'will', 'implement', 'export', 'controls', 'against', 'belarus', 'over', 'support', 'to', 'russia']
['fpis', 'withdraw', 'over', 'rs', '17000', 'cr', 'from', 'indian', 'markets', 'in', 'just', '3', 'days']
['pocso', 'case', 'kerala', 'hc', 'reserves', 'order', 'on', 'anticipatory', 'bail', 'plea', 'of', 'kochi', 'hotel', 'owner', '2', 'others']
['guj', 'ats', 'seizes', 'drugs', 'worth', 'rs', '2170', 'cr', 'in', '3', 'yrs', '73', 'people', 'arrested']
['polling', 'underway', 'in', '80', 'civic', 'bodies', 'across', 'assam']
['skoda', 'set', 'to', 'play', 'part', 'in', 'india', 'green', 'mobility', 'space', 'mulls', 'ev', 'launch']
['bbb', 'launches', 'programme', 'for', 'improving', 'quality', 'of', 'psu', 'bank', 'boards']
['lic', 'ipo', 'may', 'be', 'postponed', 'to', 'next', 'fiscal', 'year', 'amid', 'ukraine', 'crisis', 'experts']
['relax', 'rules', 'for', 'medical', 'students', 'returning', 'from', 'ukraine', 'varun', 'gandhi']
['ukrainian', 'refugees', 'near', '1', '5', 'million', 'as', 'russian', 'assault', 'enters', '11th', 'day']
['robust', 'suv', 'line', 'up', 'necessary', 'to', 'maintain', 'dominance', 'in', 'pv', 'segment', 'maruti']
['india', 'bowl', 'out', 'sri', 'lanka', 'for', '174', 'take', 'first', 'innings', 'lead', 'of', '400']
['amazon', 'shareholders', 'call', 'for', 'tax', 'transparency', 'report']
['selling', 'shares', 'during', 'talks', 'to', 'panama', 'papers', 'the', 'saga', 'of', 'cairn', 'retro', 'tax']
['awaiting', 'govt', 'rbi', 'guidelines', 'on', 'swift', 'transactions', 'with', 'russian', 'entities', 'pnb']
['costlier', 'crude', 'oil', 'pushing', 'up', 'raw', 'material', 'prices', 'jindal', 'steel', 'power', 'md']
['india', 'suggests', 'holding', 'discussions', 'at', 'wto', 'on', 'role', 'of', 'e', 'commerce', 'during', 'pandemic']
['russia', 'ukraine', 'conflict', 'likely', 'to', 'have', 'adverse', 'effects', 'on', 'economic', 'growth', 'inflation', 'jayanth', 'varma']
['govt', 'working', 'on', '14', 'critical', 'coal', 'evacuation', 'rail', 'projects', 'for', 'faster', 'transportation', 'of', 'fuel']
['election', 'results', 'war', 'among', 'key', 'factors', 'that', 'may', 'steer', 'market', 'this', 'week']
['railways', 'helped', 'drive', 'russia', 'off', 'track', 'and', 'into', 'ukraines', 'cities']
['returned', 'e', 'commerce', 'goods', 'hot', 'sellers', 'in', 'refurbed', 'markets']
['india', 'set', 'to', 'export', 'record', '7', 'mln', 'tonnes', 'wheat', 'this', 'year']
['pm', 'modi', 'condoles', 'death', 'of', 'vajpayees', 'aide', 'shiv', 'kumar', 'pareek']
['russia', 'energy', 'chaos', 'triggers', 'biggest', 'market', 'shock', 'in', 'decades']
['operation', 'oilseed', 'how', 'the', 'usa', 'once', 'smuggled', 'the', 'seeds', 'of', 'sunflower', 'a', 'symbol', 'of', 'ukraines', 'spirit', 'out', 'of', 'russia']
['coal', 'india', 'arm', 'bccls', 'output', 'up', 'by', 'record', '61', 'in', 'feb', 'to', '3', '24', 'million', 'tonne']
['president', 'kovind', 'organises', 'run', 'at', 'rashtrapati', 'bhavan', 'to', 'promote', 'fitness']
['amul', 'expects', '18', 'pc', 'growth', 'in', 'turnover', 'to', 'around', 'rs', '46000', 'cr', 'this', 'fiscal']
['could', 'the', 'ukraine', 'invasion', 'spark', 'a', 'global', 'financial', 'crisis']
['wait', 'till', 'analysts', 'finish', 'the', 'downgrades', 'that', 'is', 'the', 'time', 'to', 'buy', 'andrew', 'holland']
['women', 'professionals', 'in', 'tech', 'report', 'lower', 'levels', 'of', 'gender', 'bias', 'than', 'in', 'other', 'sectors', 'says', 'new', 'survey']
['govts', 'negative', 'opinion', 'about', 'me', 'proves', 'my', 'judicial', 'independence', 'outgoing', 'raj', 'hcs', 'cj']
['sennheiser', 'hd', '400', 'pro', 'review', 'the', 'headphones', 'are', 'affordable', 'yet', 'pro']
['dyson', 'v12', 'detect', 'slim', 'review', 'its', 'an', 'expensive', 'clean', 'mean', 'machine']
['chinas', 'trade', 'war', 'with', 'us', 'resulted', 'in', 'loss', 'of', 'usd', '550', 'billion', 'report']
['we', 'are', 'in', 'a', 'shock', 'setup', 'not', 'the', 'time', 'to', 'dial', 'risk', 'maneesh', 'dangi']
['jim', 'rogers', 'on', 'impending', 'bear', 'market', 'advice', 'for', 'first', 'time', 'investors']
['auto', 'design', 'gets', 'a', 'leg', 'up', 'with', 'women', 'in', 'drivers', 'seat']
['ukraine', 'fm', 'asks', 'blinken', 'for', 'jets', 'air', 'defence', 'systems']
['that', 'art', 'file', 'in', 'your', 'inbox', 'is', 'non', 'fungible', 'non', 'insurable']
['nse', 'co', 'location', 'case', 'delhi', 'court', 'denies', 'ex', 'nse', 'ceo', 'chitra', 'ramakrishnas', 'anticipatory', 'bail']
['more', 'independent', 'directors', 'board', 'india', 'inc', 'despite', 'rise', 'in', 'financial', 'frauds']
['ukraine', 'crisis', 'india', 'examines', 'exposure', 'to', 'russian', 'arms']
['ukraine', 'crisis', 'renewed', 'shelling', 'breaks', 'ceasefire', 'for', 'evacuation']
['indian', 'telcos', 'take', 'the', 'broadband', 'battle', 'to', 'space']
['cabinet', 'green', 'light', 'for', 'spacecom', 'policy', 'in', 'early', 'april']
['uncertainty', 'over', 'lic', 'ipo', 'could', 'hit', 'governments', 'revised', 'disinvestment', 'target', 'for', 'fy22']
['sbi', 'appoints', 'ex', 'ujjivan', 'small', 'finance', 'bank', 'ceo', 'nitin', 'chugh', 'as', 'dmd']
['jadeja', 'becomes', 'sixth', 'cricketer', 'to', 'register', '150', 'score', 'five', 'wickets', 'in', 'same', 'test']
['month', 'long', 'campaign', 'in', 'up', 'ends', 'last', 'phase', 'voting', 'on', 'march', '7th']
['russia', 'without', 'evidence', 'says', 'ukraine', 'making', 'nuclear']
['indian', 'navy', 'successfully', 'test', 'fires', 'brahmos', 'missile']
['tcs', 'share', 'buyback', 'to', 'begin', 'on', 'march', '9', 'all', 'you', 'need', 'to', 'know']
['uk', 'intelligence', 'says', 'russia', 'targeting', 'populated', 'areas', 'in', 'ukraine']
['up', 'polls', 'hot', 'cuppa', 'with', 'a', 'side', 'of', 'politics']
['ukraine', 'crisis', 'will', 'have', 'consequences', 'for', 'whole', 'world', 'including', 'for', 'india', 'russia', 'ties', 'envoy']
['those', 'defaming', 'red', 'cap', 'forced', 'to', 'wear', 'a', 'cap', 'akhilesh', 'yadav']
['critics', 'need', 'to', 'look', 'at', 'gandhis', 'enduringly', 'relevant', 'aspects', 'historian', 'writer', 'ramachandra', 'guha']
['pm', 'modi', 'unveils', 'shivaji', 'maharaj', 'statue', 'in', 'pune', 'municipal', 'corporation', 'premises']
