['no', 'party', 'can', 'match', 'bjp', 'in', 'goondaism', 'says', 'akhilesh']
['after', 'dumping', 'kerala', 'kitex', 'group', 'commits', 'rs', '1000', 'crore', 'investment', 'in', 'telangana']
['alpha', 'corp', 'to', 'invest', 'around', 'rs', '900', 'crore', 'to', 'complete', '3', 'stalled', 'projects', 'of', 'earth', 'infra', 'in', 'ncr']
['china', 'vows', 'retaliation', 'after', 'united', 'states', 'blacklists', 'companies']
['iit', 'delhi', 'alumnus', 'scales', 'mt', 'everest', 'within', 'seven', 'weeks', 'of', 'recovering', 'from', 'covid', '19']
['tv', 'maker', 'super', 'plastronics', 'aims', 'to', 'be', 'rs', '1000', 'cr', 'company', 'in', 'current', 'fiscal']
['tokyo', 'olympics', 'no', 'bronze', 'medal', 'match', 'in', 'hockey', 'if', 'one', 'finalist', 'forced', 'out', 'due', 'to', 'covid']
['how', 'tech', 'inc', 'is', 'managing', 'talent', 'war', '2', '1']
['ramesh', 'chennithala', 'urges', 'secular', 'parties', 'to', 'join', 'hands', 'to', 'fight', 'centres', 'move', 'on', 'cooperatives']
['the', 'worlds', 'billionaire', 'factory', 'shudders', 'as', 'china', 'cracks', 'down']
['fpis', 'pull', 'out', 'rs', '2249', 'crore', 'from', 'indian', 'equities', 'in', 'july', 'so', 'far']
['stranded', 'at', 'home', 'indians', 'studying', 'medicine', 'in', 'china', 'desperate', 'to', 'return', 'to', 'college']
['long', 'short', 'of', 'markets', 'how', 'to', 'select', 'the', 'right', 'ipo', 'for', 'investment', 'and', 'listing', 'gains']
['noted', 'economist', 'amit', 'mitra', 'likely', 'to', 'step', 'down', 'as', 'bengal', 'finance', 'minister', 'due', 'to', 'ill', 'health']
['indias', 'power', 'consumption', 'rises', '18', 'per', 'cent', 'to', '30', '33', 'bu', 'during', 'july', '1', '7']
['bjp', 'national', 'president', 'j', 'p', 'naddas', 'goa', 'visit', 'cancelled']
['ioc', 'framework', 'states', 'countries', 'can', 'replace', 'covid', 'infected', 'athlete', 'in', 'mixed', 'team', 'shooting', 'events']
['maharashtra', '4', '4', 'magnitude', 'earthquake', 'hits', 'yavatmal', 'nearby', 'areas']
['delhi', 'jal', 'board', 'to', 'move', 'sc', 'seeking', 'release', 'of', 'delhis', 'legitimate', 'share', 'of', 'water', 'from', 'haryana']
['india', 'poised', 'for', 'double', 'digit', 'growth', 'this', 'fiscal', 'disinvestment', 'climate', 'looks', 'better', 'niti', 'vc']
['view', 'the', 'recipe', 'to', 'aspirational', 'districts', 'steady', 'progress']
['thaawarchand', 'gehlot', 'takes', 'oath', 'as', '19th', 'governor', 'of', 'karnataka']
['easemytrip', 'aims', '100', 'growth', 'this', 'year']
['bsp', 'has', 'lost', 'its', 'identity', 'azad', 'samaj', 'party', 'alternative', 'in', 'uttar', 'pradesh', 'chandra', 'shekhar', 'aazad']
['oh', 'to', 'belong', 'or', 'to', 'hitch', 'your', 'cart', 'to', 'italy', 'or', 'england', 'tonight']
['six', 'years', 'a', 'slave', 'indian', 'farm', 'workers', 'exploited', 'in', 'italy']
['franklin', 'templeton', 'mf', 'unitholders', 'to', 'get', 'rs', '3303', 'crore', 'in', 'fifth', 'tranche']
['india', 'italy', 'mull', 'joint', 'investment', 'in', 'third', 'countries', 'delhis', 'first', 'such', 'proposal', 'with', 'any', 'european', 'country']
['kunal', 'bothras', '3', 'stock', 'recommendations', 'for', 'this', 'week']
['mahindra', 'finance', 'expands', 'its', 'global', 'footprint', 'acquires', '58', '2', 'in', 'ideal', 'finance']
['ukraine', 'says', 'russian', 'hackers', 'hit', 'its', 'navy', 'website']
['pakistan', 'facilitator', 'not', 'guarantor', 'of', 'afghan', 'peace', 'process', 'army', 'spokesman']
['govt', 'extends', 'deadline', 'for', 'transaction', 'legal', 'advisors', 'to', 'bid', 'for', 'managing', 'idbi', 'bank', 'sale', 'till', 'july', '22']
['nominate', 'your', 'choice', 'of', 'inspiring', 'people', 'for', 'padma', 'awards', 'pm', 'modi', 'to', 'citizens']
['eu', 'says', 'it', 'has', 'enough', 'doses', 'to', 'vaccinate', '70', 'of', 'adult', 'population', 'by', 'month', 'end']
['messi', 'and', 'neymar', 'picked', 'as', 'best', 'players', 'at', 'copa', 'america']
['whats', 'a', 'suborbital', 'flight', 'an', 'aerospace', 'engineer', 'explains']
['leaders', 'of', 'north', 'korea', 'china', 'vow', 'to', 'strengthen', 'ties']
['over', '1', '44', 'crore', 'unutilised', 'covid', '19', 'vaccine', 'doses', 'available', 'with', 'states', 'private', 'hospitalscentre']
['sandisk', 'ixpand', 'flash', 'drive', 'luxe', 'review', 'a', 'data', 'lifesaver', 'for', 'iphone', 'users']
['ipad', 'pro', 'review', 'it', 'may', 'be', 'apples', 'leap', 'of', 'faith', 'to', 'a', 'laptop']
['with', 'afghan', 'pullout', 'united', 'states', 'ditches', 'forever', 'wars']
['six', 'of', 'top', '10', 'valued', 'companies', 'lose', 'rs', '92147', 'crore', 'in', 'market', 'valuation']
['setting', 'up', 'a', 'plant', 'a', 'year', 'in', 'and', 'gardening', 'is', 'still', 'the', 'pandemic', 'pick', 'me', 'up']
['iip', 'data', 'q1', 'earnings', 'and', 'zomato', 'ipo', 'among', 'key', 'factors', 'that', 'may', 'guide', 'market', 'this', 'week']
['carmakers', 'are', 'upgrading', 'auto', 'models', 'faster', 'than', 'before', 'to', 'ensure', 'smooth', 'passage']
['beware', 'your', 'love', 'for', 'elon', 'musk', 'and', 'dogecoin', 'may', 'land', 'you', 'in', 'a', 'scam']
['fad', 'or', 'the', 'future', 'galleries', 'take', 'time', 'to', 'decide', 'on', 'nfts']
['iran', 'president', 'elect', 'ebrahim', 'raisi', 'has', 'a', 'special', 'connection', 'with', 'india']
['covid', 'turbulence', 'grounds', 'dreams', 'of', 'aspiring', 'pilots']
['businesses', 'go', 'for', 'prenups', 'before', 'joining', 'hands']
['how', 'india', 'inc', 'paid', 'record', 'dividends', 'in', 'these', 'hard', 'covid', 'times']
['india', 'russia', 'may', 'recognise', 'each', 'others', 'vaccines']
['centres', 'dilemma', 'rescue', 'pandemic', 'hit', 'sectors', 'or', 'boost', 'sectors', 'that', 'beat', 'the', 'virus']
['to', 'home', 'or', 'rome', 'england', 'and', 'italy', 'meet', 'in', 'the', 'euro', '2020', 'final', 'at', 'wembley', 'tonight']
['south', 'by', 'southgate', 'irrespective', 'of', 'the', 'result', 'tonight', 'england', 'have', 'found', 'a', 'rare', 'gem', 'of', 'a', 'manager']
['ash', 'barty', 'ends', 'australias', 'long', 'wait', 'for', 'wimbledon', 'womens', 'title']
['taliban', 'resurgence', 'raises', 'terror', 'fears', 'from', 'moscow', 'to', 'china']
['major', 'traffic', 'jam', 'on', 'nh', '10', 'as', 'landslides', 'block', 'sikkims', 'arterial', 'highway']
['cryptocurrency', 'week', 'at', 'a', 'glance', 'tokens', 'trade', 'range', 'bound', 'amidst', 'volatility']
['kerala', 'struggles', 'with', 'rising', 'covid', 'cases', 'zika', 'virus', 'outbreak', 'adds', 'to', 'its', 'woes']
['imds', 'faulty', 'forecast', 'for', 'n', 'india', 'wrong', 'signals', 'by', 'models', 'difficulty', 'in', 'predicting', 'wind', 'patterns']
['fortis', 'healthcare', 'aims', 'to', 'focus', 'on', 'revenue', 'growth', 'initiatives', 'this', 'fiscal']
['govt', 'identifies', 'items', 'for', 'customs', 'exemptions', 'review', 'seeks', 'industry', 'views']
['wall', 'streets', 'math', 'whizzes', 'are', 'racing', 'to', 'wire', 'up', 'the', 'bond', 'market']
['vitamins', 'from', 'a', 'sugary', 'gummy', 'yum', 'say', 'some']
['we', 'need', 'help', 'haitis', 'interim', 'leader', 'requests', 'us', 'troops']
['two', 'consultants', 'of', 'aviation', 'ministry', 'two', 'officials', 'of', 'dgca', 'died', 'due', 'to', 'covid']
['up', 'block', 'panchayat', 'polls', 'bjp', 'claims', 'victory', 'in', 'majority', 'of', 'seats', 'opposition', 'alleges', 'misuse', 'of', 'official', 'machinery']
['craving', 'the', 'bengal', 'rum', 'india', 'was', 'responsible', 'in', 'intoxicating', 'australia']
['the', 'week', 'that', 'was', 'in', '10', 'stocks', 'broking', 'stocks', 'zoom', 'up', 'to', '34', 'tata', 'motors', 'bleeds']
['a', 'month', 'since', 'launch', 'glitches', 'continue', 'to', 'mar', 'i', 't', 'portal', 'functioning']
['global', 'boom', 'in', 'house', 'prices', 'becomes', 'a', 'dilemma', 'for', 'central', 'banks']
['indias', 'most', 'purchased', 'drugs', 'in', 'the', 'last', 'decade', 'are', 'for', 'cardiac', 'ailments', 'and', 'diabetes']
