['rural', 'inflation', 'higher', 'in', 'fy23', 'heres', 'the', 'data']
['construction', 'of', 'international', 'airport', 'in', 'punjabs', 'halwara', 'likely', 'to', 'end', 'by', 'july', 'minister', 'harbhajan', 'singh']
['three', 'day', 'g20', 'meeting', 'of', 'chief', 'agri', 'scientists', 'to', 'kick', 'start', 'on', 'monday', 'in', 'varanasi']
['mcleod', 'ilfs', 'settlement', 'likely', 'in', 'two', 'weeks']
['suriya', '42', 'is', 'titled', 'kanguva', 'will', 'release', 'in', '2024', 'watch', 'teaser', 'video']
['ipl', '2023', 'virat', 'kohli', 'fan', 'brings', 'delhis', 'special', 'chole', 'bhature', 'in', 'bengaluru']
['india', 'us', 'trade', 'rose', 'by', '8', 'in', '2022', '23', 'fell', '1', '5', 'with', 'china']
['naatu', 'naatu', 'lyricist', 'chandrabose', 'gifts', 'pen', 'used', 'to', 'write', 'oscar', 'winning', 'song', 'to', 'telugu', 'indian', 'idol', '2', 'contestant']
['karnataka', 'assembly', 'elections', 'bjp', 'on', 'tenterhooks', 'as', 'ticket', 'distribution', 'sparks', 'rebellion']
['senior', 'leaders', 'detained', 'aap', 'holds', 'emergency', 'meeting', 'of', 'office', 'bearers']
['pm', 'modi', 'govt', 'should', 'apologise', 'for', 'pulwama', 'attack', 'jk', 'congress', 'prez', 'vikar', 'rasool', 'wani']
['k', 'drama', 'ratings', 'this', 'week', 'taxi', 'driver', '2', 'and', 'divorce', 'attorney', 'shin', 'take', 'the', 'top', 'slots']
['6', 'banks', 'offering', 'above', '8', 'interest', 'on', '3', 'year', 'fixed', 'deposits', 'fds', 'to', 'senior', 'citizens']
['atiq', 'brother', 'to', 'be', 'buried', 'at', 'native', 'village']
['brief', 'history', 'of', 'atiqs', 'killers', 'from', 'everyday', 'crime', 'to', 'a', 'big', 'dons', 'murder']
['power', 'consumption', 'rose', '9', '5', 'in', '2022', '23', 'to', '1503', 'bn', 'units']
['mrunal', 'thakur', 'nani', 'starrer', 'nani', '30', 'poster', 'out', 'know', 'release', 'date']
['samsung', 'galaxy', 'm14', '5g', 'launch', 'date', 'likely', 'price', 'features', 'specifications', 'are', 'out', 'details', 'here']
['how', 'atiq', 'ahmads', 'key', 'vote', 'in', '2008', 'helped', 'save', 'upa', 'govt', 'indias', 'nuke', 'deal', 'with', 'us']
['nitish', 'rana', 'hrithik', 'shokeen', 'rivalry', 'spills', 'into', 'ipl']
['coachella', '2023', 'jungkook', 'reacts', 'after', 'fans', 'spot', 'him', 'at', 'music', 'festival']
['seizures', 'total', 'rs', '170', 'crore', 'since', 'announcement', 'of', 'karnataka', 'poll', 'dates', 'ec']
['fashion', 'designer', 'sandeep', 'khosla', 'buys', 'luxury', 'apartment', 'in', 'mumbais', 'juhu']
['pakistani', 'actress', 'sajal', 'aly', 'says', 'sridevi', 'was', 'like', 'her', 'mother', 'reveals', 'desire', 'to', 'work', 'in', 'indian', 'films']
['atiq', 'ahmad', 'admitted', 'to', 'having', 'links', 'with', 'isi', 'let', 'arms', 'procured', 'used', 'in', 'umesh', 'pal', 'murder', 'says', 'fir']
['pm', 'modi', 'hails', 'make', 'in', 'indias', 'global', 'strides']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'monday']
['chinas', 'grand', 'designs', 'in', 'resource', 'rich', 'central', 'asia', 'face', 'local', 'ire']
['psu', 'banks', 'set', 'target', 'for', 'selling', 'flagship', 'government', 'insurance', 'schemes', 'in', 'fy24']
['rbis', 'mpc', 'decisively', 'in', 'a', 'rate', 'pause', 'territory', 'as', 'inflation', 'cools', 'down']
['indian', 'american', 'fedex', 'ceo', 'raj', 'subramaniam', 'presented', 'with', 'pravasi', 'bharatiya', 'samman']
['will', 'try', 'to', 'get', 'back', 'shivajis', 'sword', 'from', 'uk', 'maha', 'minister']
['flipkart', 'summer', 'saver', 'days', '2023', 'sale', 'grab', 'iphone', '13', 'pixel', '6a', 'at', 'heavy', 'discounts']
['india', 'may', 'buy', 'russian', 'crude', 'past', 'cap', 'if', 'opec', 'cuts', 'boost', 'costs']
['apple', 'reportedly', 'working', 'on', 'bigger', 'macbook', 'air', 'new', 'macs']
['xiaomi', '13', 'ultras', 'first', 'look', 'revealed', 'company', 'calls', 'it', 'professional', 'imaging', 'device']
['pokemon', 'horizons', 'release', 'date', 'will', 'pokemon', 'series', 'premier', 'in', 'india']
['gpt', '5', 'not', 'in', 'the', 'works', 'currently', 'openai', 'ceo', 'sam', 'altman']
['cuet', 'samarth', 'ac', 'in']
['back', 'to', 'the', 'pavilion', 'indian', 'start', 'ups', 'flipping', 'back', 'to', 'the', 'home', 'ground', 'at', 'ifsc', 'gift', 'city']
['fpis', 'begin', 'fy24', 'on', 'a', 'positive', 'note', 'invest', 'rs', '8767', 'cr', 'in', 'indian', 'equities', 'in', 'apr']
['2', 'multibagger', 'stocks', 'to', 'trade', 'ex', 'split', 'this', 'week', 'do', 'you', 'own', 'any']
['vodafone', 'idea', 'awards', 'rs', '200', 'cr', 'network', 'order', 'to', 'chinese', 'firm', 'zte']
['kriti', 'sanon', 'goes', 'skydiving', 'for', 'first', 'time', 'shares', 'video', 'of', 'adventurous', 'trip']
['ps', '2', 'ponniyin', 'selvan', 'anthem', 'sung', 'by', 'ar', 'rahman', 'arijit', 'singh', 'and', 'others', 'is', 'out', 'watch', 'video']
['shaakuntalam', 'day', '2', 'box', 'office', 'collections', 'samanthas', 'film', 'flops', 'earns', 'just', 'rs', '1', '5', 'crore']
['world', 'voice', 'day', '2023', 'quotes', 'messages', 'to', 'share', 'with', 'your', 'loved', 'ones', 'on', 'this', 'beautiful', 'day']
['getafe', 'cf', 'vs', 'barcelona', 'match', 'in', 'la', 'liga', '2022', '23', 'where', 'to', 'watch', 'on', 'tv', 'and', 'web']
['rbis', 'norms', 'on', 'outsourcing', 'it', 'services', 'aimed', 'at', 'improving', 'corporate', 'governance', 'say', 'experts']
['see', 'very', 'good', 'opportunities', 'in', 'ma', 'environment', 'will', 'evaluate', 'entities', 'offering', 'good', 'fit', 'infosys', 'ceo']
['liquor', 'stocks', 'weather', 'it', 'all', 'from', 'sin', 'tax', 'prohibition', 'to', 'multiple', 'bear', 'attacks', 'on', 'd', 'street']
['two', 'weeks', 'before', 'killing', 'atiq', 'moved', 'supreme', 'court', 'for', 'protection', 'in', 'up', 'police', 'custody']
['all', 'educational', 'institutions', 'in', 'bengal', 'to', 'remain', 'closed', 'next', 'week', 'due', 'to', 'severe', 'heat', 'cm', 'mamata', 'banerjee']
['talks', 'with', 'uk', 'govt', 'on', 'financial', 'package', 'still', 'on', 'says', 'tata', 'steel', 'ceo', 't', 'v', 'narendran']
['atiq', 'ahmads', 'wife', 'shaista', 'parveen', 'may', 'surrender', 'today', 'who', 'is', 'shaista', 'parveen']
['buying', 'refurbished', 'or', 'old', 'phone', '6', 'crucial', 'factors', 'to', 'consider', 'before', 'making', 'your', 'purchase']
['fishing', 'net', 'incident', 'affects', 'ongcs', 'kg', 'field', 'commissioning', 'operations']
['four', 'indians', 'among', '16', 'dead', 'in', 'dubai', 'building', 'fire']
['diljit', 'dosanjh', 'becomes', 'first', 'punjabi', 'singer', 'to', 'perform', 'at', 'coachella', 'fans', 'call', 'it', 'historic']
['do', 'you', 'want', 'to', 'make', 'a', 'living', 'from', 'stock', 'trading', 'heres', 'your', 'guide']
['how', 'can', 'investing', 'in', 'stablecoins', 'mitigate', 'market', 'volatility']
['enter', 'it', 'after', '1', '2', 'quarters', 'may', 'bet', 'on', '2', 'midcap', 'banks', 'mayuresh', 'joshi']
['indian', 'economy', 'not', 'falling', 'behind', 'likely', 'to', 'grow', 'at', '6', '5pc', 'in', 'fy24', 'sanjeev', 'sanyal']
['pakistan', 'mufti', 'abdul', 'shakoor', 'minister', 'dies', 'in', 'road', 'accident']
['iit', 'indore', 'in', 'collaboration', 'with', 'nasa', 'caltech', 'develops', 'low', 'cost', 'camera', 'for', 'multispectral', 'imaging', 'of', 'flame']
['power', 'consumption', 'grows', '9', '5', 'pc', 'to', '1503', 'billion', 'units', 'in', '2022', '23', 'govt', 'data']
['manipal', 'health', 'enterprises', 'plans', 'to', 'add', '12', '14', 'hospitals', 'to', 'its', 'network', 'in', 'five', 'years']
['delhi', 'sees', 'fewer', 'covid', 'cases', 'in', 'last', '24', 'hours', 'on', 'saturday']
['avalon', 'technologies', 'ipo', 'listing', 'likely', 'on', 'april', '18', 'what', 'to', 'expect']
['india', 'daily', 'covid', 'cases', 'fall', 'slightly', 'but', 'still', 'more', 'than', '10000']
['covid', 'variant', 'sweeping', 'india', 'now', 'gains', 'foothold', 'in', 'the', 'us', 'what', 'experts', 'say']
['better', 'than', 'pe', 'heres', 'why', 'peg', 'ratio', 'is', 'better', 'suited', 'for', 'long', 'term', 'investing']
['vande', 'bharat', 'metro', 'trains', 'coming', 'soon', 'where', 'they', 'will', 'run']
['whats', 'next', 'for', 'indias', 'nft', 'ecosystem', 'as', 'it', 'shifts', 'focus', 'from', 'filmi', 'trifles', 'to', 'utility']
['wordle', '666', 'april', '16', '2023', 'here', 'are', 'the', 'hints', 'and', 'answer']
['atiq', 'ahmed', 'and', 'his', 'brother', 'ashraf', 'ahmed', 'shot', 'dead', 'report']
['zerodha', 'expects', '20', 'jump', 'in', 'fy23', 'revenue', 'profit']
['nifty', 'fo', 'strategy', 'expect', 'consolidation', 'with', 'support', 'near', '17500', 'go', 'for', 'short', 'straddle', 'says', 'icici', 'direct']
['ambani', 'builds', 'on', 'record', 'cricket', 'views', 'with', 'film', 'tv', 'offerings']
['karnataka', 'governments', 'kashi', 'yatra', 'cancelled', 'as', 'poll', 'code', 'comes', 'into', 'force']
['apple', 'continuously', 'expanding', 'business', 'operations', 'in', 'india', 'piyush', 'goyal']
['charting', 'the', 'global', 'economy', 'imf', 'trims', '2023', 'growth', 'projections']
['fix', 'or', 'trash', 'from', 'iphones', 'to', 'toaster', 'the', 'right', 'to', 'repair', 'framework', 'will', 'let', 'you', 'restore', 'your', 'appliances']
['mcap', 'of', 'seven', 'of', 'top', '10', 'most', 'valued', 'firms', 'climb', 'rs', '67859', '77', 'cr', 'icici', 'bank', 'hdfc', 'bank', 'shine']
['amazon', 'blockbuster', 'value', 'days', '2023', 'up', 'to', '60', 'off', 'on', 'tvs', 'from', 'top', 'brands']
['oshi', 'no', 'ko', 'released', 'know', 'where', 'to', 'watch', 'live', 'stream', 'details', 'and', 'more']
['land', 'issue', 'visva', 'bharati', 'hopeful', 'amartya', 'sen', 'will', 'respond', 'to', 'eviction', 'notice', 'by', 'next', 'week']
['covid', 'variant', 'arcturus', 'has', 'new', 'symptom', 'not', 'seen', 'in', 'earlier', 'waves', 'experts']
['amazon', 'blockbuster', 'value', 'days', '2023', 'apple', 'oneplus', 'mi', 'samsung', 'redmi', 'realme', 'and', 'many', 'more', 'mobile', 'phones', 'on', 'huge', 'discount']
['salman', 'khan', 'once', 'ditched', 'taxi', 'driver', 'later', 'paid', 'him', 'back', 'with', 'interest', 'know', 'what', 'he', 'said']
['delhi', 'jaipur', 'ajmer', 'vande', 'bharat', 'train', 'service', 'started', 'here', 'are', 'full', 'details', 'about', 'fare', 'timing', 'stops']
['an', 'entrepreneurs', 'passion', 'for', 'restoring', 'old', 'temples', 'leads', 'to', 'potable', 'water', 'solution', 'in', 'rural', 'india']
['learn', 'with', 'etmarkets', 'diversified', 'portfolio', 'understanding', 'different', 'asset', 'classes']
['killing', 'of', 'atiq', 'ahmad', 'as', 'heinous', 'as', 'umesh', 'pal', 'murder', 'case', 'mayawati']
['demon', 'slayer', 'season', '3', 'episode', '2', 'release', 'date', 'how', 'to', 'watch', 'what', 'to', 'expect', 'and', 'more']
['virgin', 'river', 'season', '5', 'on', 'netflix', 'see', 'release', 'schedule', 'and', 'all', 'you', 'need', 'to', 'know']
['q4', 'earnings', 'rbi', 'meet', 'minutes', 'fii', 'flows', 'among', '7', 'key', 'drivers', 'for', 'd', 'st', 'this', 'week']
['underweight', 'in', 'auto', 'time', 'to', 'nibble', 'in', 'fmcg', 'stocks', 'trideep', 'bhattacharya']
['how', 'hunger', 'links', 'ireland', 'and', 'india']
['q4', 'results', 'this', 'week', 'icici', 'bank', 'yes', 'bank', 'hcl', 'tech', 'tata', 'communication', 'and', 'others']
['delhi', 'sees', 'the', 'seasons', 'first', 'heatwave', 'on', 'saturday', 'likely', 'to', 'continue', 'in', 'the', 'week']
['india', 'us', 'building', 'foundation', 'for', 'strong', 'peaceful', 'global', 'community', 'nirmala', 'sitharaman']
['evs', 'set', 'to', 'become', 'more', 'affordable', 'as', 'industry', 'closes', 'in', 'on', 'the', 'price', 'gap', 'with', 'fuel', 'run', 'vehicles']
['domestic', 'factors', 'keep', 'indias', 'white', 'collar', 'job', 'market', 'resilient', 'despite', 'overall', 'slowdown', 'in', 'job', 'creation']
['pricey', 'vintage', 'cars', 'driving', 'into', 'investment', 'portfolios']
['conducive', 'policy', 'and', 'structural', 'reforms', 'have', 'kept', 'the', 'indian', 'economy', 'strong', 'says', 'fm', 'nirmala', 'sitharaman']
['ettech', 'opinion', 'forging', 'the', 'future', 'of', 'digital', 'people', 'supply', 'chain']
['the', 'great', 'churn', 'tech', 'majors', 'bring', 'in', 'new', 'leadership', 'amid', 'course', 'correction']
['g7', 'agreed', 'to', 'accelerate', 'phase', 'out', 'of', 'fossil', 'fuels']
['food', 'or', 'medicine', 'argentinas', 'retirees', 'in', 'a', 'catch', '22', 'situation']
['the', 'changing', 'role', 'of', 'a', 'chief', 'human', 'resources', 'officer']
['amazon', 'blockbuster', 'value', 'days', '2023', 'lowest', 'prices', 'on', 'washing', 'machines']
['femina', 'miss', 'india', '2023', 'winner', 'nandini', 'gupta', 'all', 'you', 'may', 'want', 'to', 'know', 'about', 'the', 'girl', 'from', 'kota']
['rs', '1000', 'crore', 'a', 'day', 'why', 'fiis', 'are', 'buying', 'indian', 'stocks', 'non', 'stop']
['apple', 'may', 'discontinue', 'these', 'iphones', 'this', 'year', 'here', 'is', 'the', 'list']
['amazon', 'sale', 'top', 'gaming', 'laptops', 'starting', 'at', 'rs', '49990', 'with', 'extra', 'discounts']
['how', 'to', 'achieve', 'child', 'education', 'goals', 'in', 'a', 'challenging', 'world', 'with', 'soaring', 'costs']
['uber', 'signs', 'pact', 'to', 'build', 'uber', 'zones', 'across', 'all', 'aai', 'airports']
['cricket', 'at', 'the', 'olympics']
['comcast', 'tests', 'india', 'waters', 'with', 'bodhi', 'tree', 'stake', 'buy']
['quordle', '447', 'april', '16', 'here', 'are', 'hints', 'answers', 'to', 'todays', 'word', 'puzzle']
['buying', 'on', 'dips', 'likely', 'to', 'support', 'gold', 'next', 'week', 'resistance', 'seen', 'at', '2010', '2050']
['indian', 'national', 'dies', 'in', 'khartoum']
['kapil', 'sharma', 'show', 'to', 'go', 'off', 'air', 'once', 'again', 'here', 'are', 'details']
['jungle', 'raj', 'mafia', 'raj', 'opposition', 'targets', 'bjp', 'led', 'centre', 'over', 'killing', 'of', 'atiq', 'ahmad']
['midcaps', 'for', 'long', 'term', 'play', '5', 'stocks', 'with', 'high', 'roe', 'net', 'profit', 'margin']
['pm', 'modis', 'degree', 'court', 'issues', 'summons', 'to', 'arvind', 'kejriwal', 'sanjay', 'singh', 'in', 'defamation', 'case', 'by', 'gujarat', 'university']
['carlyle', 'in', 'talks', 'to', 'buy', 'stake', 'in', 'manchester', 'united', 'report']
['crypto', 'taxation', 'in', 'india', 'what', 'nris', 'needs', 'to', 'know']
['harpreet', 'singh', 'bhatia', 'makes', 'ipl', 'comeback', 'after', '10', 'years', '332', 'days', 'know', 'why']
