['jk', 'government', 'orders', 'safety', 'audit', 'of', 'major', 'bridges', 'flyovers']
['employment', 'in', 'indian', 'enterprises', 'grows', '38', 'number', 'of', 'companies', '42']
['india', 'heading', 'towards', 'becoming', 'major', 'agricultural', 'importer', 'after', 'two', 'failed', 'monsoons']
['cigarette', 'units', 'shut', 'against', 'larger', 'warnings', 'on', 'packs']
['emerging', 'markets', 'back', 'in', 'favour', 'christopher', 'd', 'palmer', 'benson', 'avenue', 'capital']
['commodities', 'move', 'up', 'in', 'wholesale', 'foodgrains', 'market']
['after', 'bombay', 'high', 'court', 'order', 'trupti', 'desai', 'heads', 'to', 'shingnapur']
['uttarakhand', 'congress', 'moves', 'hc', 'challenging', 'ordinance', 'on', 'expenditure']
['maruti', 'suzuki', 'greenply', 'are', 'must', 'haves', 'in', 'your', 'portfolio', 'sudip', 'bandyopadhyay']
['shocked', 'by', 'pratyusha', 'banerjees', 'suicide', 'celebs', 'react', 'on', 'twitter']
['president', 'pranab', 'mukherjee', 'signs', 'ordinance', 'on', 'uttarakhand', 'expenditure']
['indian', 'american', 'professor', 'rajendra', 'r', 'aparasu', 'selected', 'for', 'fulbright', 'specialist', 'roster']
['jayalalithaa', 'seeks', 'pm', 'narendra', 'modis', 'intervention', 'in', 'repatriation', 'of', '63', 'fishermen']
['rahul', 'gandhi', 'visits', 'flyover', 'collapse', 'site', 'meets', 'injured']
['take', 'your', 'pick', 'premium', 'smartphones', 'launched', 'in', 'india', 'in', '2016']
['virat', 'kohli', 'thanks', 'fans', 'for', 'their', 'support']
['more', 'ceos', 'governments', 'speak', 'against', 'north', 'carolina', 'law']
