['mangal', 'raj', 'and', 'rule', 'of', 'law', 'in', 'bihar', 'nitish', 'kumar']
['st', 'stephens', 'college', 'announces', 'admission', 'schedule', 'silent', 'on', 'centralised', 'process', 'of', 'delhi', 'university']
['regional', 'airline', 'will', 'be', 'personal', 'investment', 'vijay', 'sankeshwar']
['pakistan', 'court', 'issues', 'notice', 'to', 'nawaz', 'sharif', 'govt', 'on', 'his', 'foreign', 'tours']
['even', 'an', 'ant', 'can', 'trouble', 'elephant', 'harish', 'rawat', 'warns', 'pm', 'narendra', 'modi']
['aavishkaar', 'invests', 'in', 'dhaka', 'based', 'payment', 'systems', 'venture', 'cloudwell', 'limited']
['rupee', 'free', 'fall', 'continues', 'plunges', '26', 'paise', 'to', '67', '75']
['cipla', 'q4', 'disappoints', 'profit', 'falls', '69', 'to', 'rs', '80', '87', 'crore']
['meet', 'these', '10', 'bollywood', 'celebrities', 'who', 'are', 'also', 'kickass', 'entrepreneurs']
['chabahar', 'pact', 'a', 'gateway', 'to', 'central', 'asia', 'for', 'indian', 'companies', 'ficci']
['modisarkar2', 'big', 'b', 'to', 'host', 'govts', 'anniversary', 'bash']
['tech', 'mahindra', 'drops', 'plans', 'to', 'start', 'payments', 'bank']
['another', 'one', 'bites', 'the', 'dust', 'in', 'ecommerce', 'space', 'now', 'anand', 'chandrasekaran', 'quits', 'snapdeal']
['boi', 'q4', 'loss', 'widens', 'to', 'rs', '3587', 'crore', 'as', 'bad', 'loans', 'mount']
['will', 'keep', 'away', 'from', 'troubled', 'sectors', 'like', 'steel', 'for', 'now', 'pnb']
['colgate', 'palmolive', 'india', 'q4', 'net', 'down', '10', '8', 'percent', 'at', 'rs', '145', '89', 'crore']
['arvind', 'kejriwal', 'can', 'even', 'join', 'hands', 'with', 'pm', 'narendra', 'modi', 'if', 'it', 'suits', 'him', 'prashant', 'bhushan']
['funny', 'side', 'up', 'a', 'stand', 'up', 'gig', 'featuring', 'cyrus', 'kunal']
['when', 'snapdeal', 'founders', 'kunal', 'bahl', 'and', 'rohit', 'bansal', 'recently', 'met', 'yahoos', 'jerry', 'yang']
['big', 'bs', 'granddaughter', 'navya', 'naveli', 'graduates', 'tweets', 'pic']
['almost', 'half', 'of', 'girl', 'trafficking', 'is', 'from', 'west', 'bengal', 'cry']
['india', 'aims', 'to', 'be', 'among', 'top', '30', 'in', 'ease', 'of', 'doing', 'biz', 'amitabh', 'kant']
['pm', 'modi', 'cabinet', 'ministers', 'stay', 'clear', 'of', 'stocks', 'keep', 'assets', 'in', 'real', 'estate', 'banks']
['reducing', 'divergence', 'a', 'key', 'principle', 'of', 'india', 'china', 'ties', 'president', 'pranab', 'mukherjee']
['from', 'iim', 'a', 'to', 'dalal', 'st', 'a', 'tale', 'of', 'two', 'batchmates', 'rashesh', 'shah', 'nirmal', 'jain']
['bajrang', 'dal', 'organises', 'firearms', 'training', 'up', 'governor', 'ram', 'naik', 'defends', 'action']
['fed', 'may', 'not', 'raise', 'interest', 'rates', 'now', 'manishi', 'raychaudhuri', 'bnp', 'paribas']
['india', 'signs', '100', 'mn', 'loan', 'agreement', 'with', 'world', 'bank']
['govt', 'to', 'soon', 'decide', 'on', 'apples', 'single', 'brand', 'retail', 'proposal']
['nokia', 'in', 'talks', 'with', 'indian', 'telcos', 'over', '5g', 'networks']
['maharashtra', 'education', 'minister', 'vinod', 'tawde', 'criticises', 'aap', 'for', 'backing', 'neet']
['techms', 'q4', 'net', 'up', '18', '2', 'qoq', 'margins', 'contract']
['government', 'moving', 'ahead', 'with', 'labour', 'reforms', 'says', 'bandaru', 'dattatreya']
['two', 'get', 'life', 'term', 'for', '2011', 'abduction', 'of', 'malkangiri', 'collector']
['air', 'ambulance', 'with', '7', 'on', 'board', 'crash', 'lands', 'near', 'delhi', 'airport']
['govt', 'must', 'ease', 'approval', 'process', 'for', 'realty', 'projects', 'godrej']
['gates', 'foundation', 'commits', '80', 'million', 'to', 'close', 'gender', 'data', 'gaps']
['assam', 'to', 'be', 'the', 'focal', 'point', 'of', 'indias', 'act', 'east', 'policy', 'prime', 'minister', 'narendra', 'modi']
['govt', 'aims', 'record', '270', '1', 'mn', 'tonne', 'foodgrains', 'output', 'in', '2016', '17']
['stop', 'outages', 'or', 'face', 'licence', 'cancellation', 'delhi', 'government', 'to', 'discoms']
['monsanto', 'up', 'over', '3', 'per', 'cent', 'on', 'withdrawal', 'of', 'bt', 'cotton', 'notification']
['dkny', 'opens', '9th', 'store', 'in', 'india']
['famous', 'malda', 'mango', 'facing', 'major', 'export', 'crisis']
['poor', 'e', 'knowledge', 'scuttles', 'probe', 'give', 'training', 'to', 'cops', 'delhi', 'court']
['neet', 'ordinance', 'gets', 'president', 'pranab', 'mukherjees', 'assent', 'decks', 'cleared', 'for', 'ug', 'medical', 'admissions', 'by', 'states']
['fintechs', 'heralding', 'a', 'new', 'era', 'for', 'indian', 'banking', 'and', 'finance']
['assam', 'cm', 'sarbanada', 'sonowals', 'steady', 'rise', 'to', 'the', 'top']
['aap', 'steps', 'up', 'attack', 'on', 'ndmc', 'vice', 'chairman', 'karan', 'singh', 'tanwar']
['us', 'president', 'barack', 'obama', 'has', 'high', 'approval', 'rating', 'among', 'indian', 'americans']
['stalin', 'offered', 'seat', 'as', 'per', 'protocol', 'during', 'jayalalithaas', 'swearing', 'ceremony']
['spicejet', 'to', 'supply', 'water', 'in', '11', 'parched', 'villages', 'of', 'maharashtra']
['tata', 'powers', 'finances', 'to', 'remain', 'stable', 'over', 'next', '12', '18', 'mnths']
['nsg', 'masood', 'azhar', 'issues', 'to', 'figure', 'in', 'pranab', 'mukherjees', 'talks', 'with', 'xi', 'jinping']
['jammu', 'kashmir', 'banks', 'q4', 'net', 'loss', 'at', 'rs', '56', 'cr']
['verify', 'complaints', 'against', 'subordinate', 'judges', 'before', 'action', 'ts', 'thakur', 'cji']
['ongc', 'sail', 'are', 'long', 'term', 'picks', 'rajat', 'sharma', 'sana', 'securities']
['spicejet', 'to', 'supply', 'water', 'in', '11', 'parched', 'villages', 'of', 'maharashtra']
['high', 'interest', 'rates', 'affecting', 'industry', 'small', 'biz', 'nirmala', 'sitharaman']
['moil', 'q4', 'net', 'profit', 'declines', '79', 'at', 'rs', '21', '38', 'cr']
['manish', 'sisodia', 'warns', 'government', 'school', 'teachers', 'over', 'inefficiency']
['cancer', 'causing', 'chemicals', 'in', 'bread', 'government', 'awaits', 'fssai', 'report', 'to', 'initiate', 'action']
['fmcg', 'stocks', 'best', 'avided', 'till', 'there', 'is', 'a', 'major', 'revival', 'dipan', 'mehta', 'bse', 'nse']
['finishing', 'phd', 'has', 'become', 'political', 'responsibility', 'kanhaiya', 'kumar']
['rinder', 'global', 'acquisition', 'will', 'add', 'rs', '300', 'crores', 'to', 'top', 'line', 'sudhir', 'jain', 'minda', 'industries']
['neet', 'will', 'end', 'unhealthy', 'practices', 'of', 'private', 'colleges', 'venkaiah', 'naidu']
['sonia', 'gandhi', 'urged', 'to', 'give', 'rajya', 'sabha', 'ticket', 'to', 'muslim', 'candidate', 'from', 'madhya', 'pradesh']
['mapping', 'the', 'market', 'sensex', 'rises', 'but', 'investors', 'lose', 'rs', '17577', 'crore', 'and', 'how']
['rail', 'route', 'from', 'china', 'to', 'bihar']
['pm', 'modi', 'top', 'ministers', 'stay', 'clear', 'of', 'stocks', 'keep', 'assets', 'in', 'realty', 'banks']
['pc', 'jeweller', 'raised', 'rs', '427', 'crore', 'from', 'dvi', 'fund', 'mauritius', 'for', 'business', 'expansion']
['tirupati', 'airport', 'to', 'begin', 'international', 'operations', 'by', 'june', 'end']
['gvk', 'power', 'drops', 'for', 'sixth', 'session', 'as', 'q4', 'loss', 'widens']
['jugnoo', 'ties', 'up', 'with', 'ai', 'based', 'personal', 'assistant', 'platform', 'helpchat']
['job', 'hoppers', 'want', 'new', 'opportunities', 'with', 'current', 'employer', 'for', 'next', 'few', 'years', 'or', 'longer']
['bombay', 'high', 'court', 'asks', 'regulatory', 'body', 'to', 'monitor', 'water', 'level', 'in', 'dams']
['us', 'to', 'eliminate', 'terrorists', 'targetting', 'american', 'soldiers']
['datawind', 'pips', 'samsung', 'lenovo', 'to', 'become', 'top', 'tablet', 'player', 'in', 'india']
['uae', 'tightens', 'norms', 'for', 'import', 'of', 'veggies', 'from', 'india']
['good', 'news', 'for', 'india', 'skymet', 'ups', 'monsoon', 'forecast', 'to', '109']
['torrent', 'pharma', 'gains', 'post', 'march', 'quarter', 'results']
['tangedco', 'gets', 'green', 'nod', 'for', 'rs', '12664', 'cr', 'thermal', 'power', 'project']
['70', 'indians', 'arrested', 'in', 'nepal', 'over', 'consuming', 'alcohol', 'says', 'police']
['monsanto', 'jumps', 'on', 'withdrawal', 'of', 'bt', 'cotton', 'notification']
['indias', 'q4', 'growth', 'likely', 'to', 'jump', 'to', '7', '8']
['private', 'colleges', 'will', 'also', 'come', 'under', 'the', 'ambit', 'of', 'neet', 'j', 'p', 'nadda']
['narendra', 'modi', 'government', 'to', 'highlight', 'its', 'achievements', 'in', '200', 'nerve', 'centres']
['img', 'to', 'review', 'arcelormittal', 'sail', 'jv', 'progress', 'this', 'month']
['study', 'was', 'to', 'establish', 'presence', 'of', 'pottasium', 'bromate', 'and', 'iodate', 'chandra', 'bhushan', 'deputy', 'director', 'general', 'of', 'cse']
['gold', 'silver', 'trend', 'down', 'on', 'lower', 'global', 'cues', 'easing', 'demand']
['novartis', 'india', 'surges', 'as', 'company', 'mulls', 'share', 'buyback', 'plan']
['7', 'potential', 'wealth', 'creating', 'ideas', 'from', 'experts', 'for', 'the', 'next', '2', '3', 'yrs']
['sensex', 'snaps', '4', 'day', 'losing', 'streak', 'nifty50', 'close', 'to', '7750', 'level']
['president', 'pranab', 'mukherjee', 'arrives', 'in', 'china', 'to', 'boost', 'bilateral', 'ties']
['five', 'navy', 'officers', 'sentenced', 'to', 'death', 'in', 'pakistan']
['frequent', 'flyer', 'mansour', 'used', 'pakistani', 'passport', 'for', 'trips', 'says', 'media', 'report']
['bajaj', 'finance', 'q4', 'net', 'profit', 'up', '36', 'to', 'rs', '315', 'crore']
['china', 'looking', 'to', 'stretch', 'its', 'railway', 'link', 'to', 'bihar', 'report']
['the', 'most', 'innovative', 'way', 'to', 'pack', 'smart', 'and', 'travel', 'light', 'for', 'your', 'next', 'foreign', 'trip']
['india', 'enters', 'knockout', 'stage', 'of', 'asian', 'team', 'snooker', 'championship', 'after', 'defeating', 'qatar']
['brexit', 'will', 'be', 'bad', 'for', 'rupee', 'and', 'equity', 'sudhir', 'agrawal', 'uti', 'mf']
['chinese', 'investments', 'in', 'india', 'increased', 'by', 'six', 'times', 'report']
['fxkart', 'com', 'looks', 'to', 'raise', '5', 'million', 'in', 'series', 'a', 'funding']
['for', '2016', '17', 'our', 'revenue', 'target', 'is', 'rs', '280', 'crore', 'pv', 'sharma', 'veto', 'switchgears', 'cables']
['air', 'ambulance', 'with', '7', 'on', 'board', 'crash', 'lands', 'in', 'delhi']
['vrl', 'logistics', 'hits', 'lower', 'circuit', 'as', 'company', 'mulls', 'entering', 'regional', 'airline', 'business']
['cbi', 'carries', 'out', 'searches', 'at', 'viswa', 'bharati', 'university']
['do', 'you', 'understand', 'benefits', 'of', 'nps', 'and', 'tax', 'free', 'bonds']
['cinepolis', 'india', 'to', 'invest', 'rs', '400', 'crores', 'to', 'open', '160', 'more', 'screens', 'by', '2017']
['cyber', 'crimes', 'cbi', 'police', 'academy', 'to', 'make', 'judges', 'tech', 'savvy']
['donald', 'trump', 'says', 'he', 'has', 'no', 'problem', 'asking', 'congress', 'to', 'declare', 'war', 'on', 'terror']
['sumitra', 'mahajan', 'to', 'inaugurate', 'three', 'day', 'nercpa', 'conference']
['kashmiri', 'migrants', 'will', 'continue', 'to', 'get', '5', 'per', 'cent', 'quota', 'in', 'delhi', 'university']
['in', 'a', 'bid', 'to', 'fight', 'piracy', 'chinas', 'baidu', 'will', 'shut', 'down', 'its', 'online', 'literature', 'forum']
['sebi', 'cannot', 'keep', 'a', 'matter', 'pending', 'for', 'a', 'long', 'time', 'arun', 'sathe', 'sebi']
['arvind', 'kejriwal', 'can', 'even', 'join', 'hands', 'with', 'pm', 'modi', 'if', 'it', 'suits', 'him', 'prashant', 'bhushan']
['redevelopment', 'segment', 'to', 'help', 'bolster', 'orderbook', 'by', 'rs', '20000', '30000', 'crore', 'anoop', 'k', 'mittal', 'nbcc']
['how', 'to', 'make', 'merry', 'with', '2', 'smallcap', 'picks', 'vikas', 'sethi', 'md', 'sethi', 'finmart']
['pm', 'narendra', 'modi', 'creating', 'divide', 'by', 'patronising', 'sufis', 'jamiat', 'e', 'ahle', 'hadith']
['jk', 'cm', 'mehbooba', 'mufti', 'makes', 'sajjad', 'lone', 'head', 'of', 'science', 'and', 'tech', 'department']
['deutsche', 'bank', 'sees', 'indias', 'gdp', 'growth', 'at', '7', '8', 'in', '2017']
['go', 'long', 'on', 'lt', 'reduce', 'bhel', 'gaurang', 'shah', 'vp', 'geojit', 'bnp', 'paribas']
['bail', 'plea', 'of', 'rocky', 'yadavs', 'father', 'rejected', 'by', 'a', 'local', 'court']
['market', 'on', 'edge', 'willing', 'to', 'liquidate', 'as', 'soon', 'as', 'the', 'bad', 'news', 'comes', 'ajay', 'srivastava', 'ceo', 'dimension', 'consulting']
['ad', 'tech', 'companies', 'like', 'amagi', 'adsparx', 'look', 'to', 'circumvent', 'the', '22', 'bn', 'ad', 'blocker', 'problem']
['track', 'sensex', 'nifty', 'live', 'who', 'moved', 'my', 'market', 'today']
['retrospective', 'tax', 'impact', 'of', 'krishi', 'kalyan', 'cess', 'worries', 'india', 'inc']
['egom', 'suggests', 'heavy', 'penalty', 'for', 'minor', 'drivers']
['auto', 'sector', 'against', 'fta', 'with', 'european', 'union', 'nirmala', 'sitharaman', 'commerce', 'minister']
['how', 'much', 'do', 'you', 'know', 'about', 'mutual', 'funds']
['smart', 'crispier', 'technology', 'driven', 'surveys', 'helping', 'companies', 'better', 'gauge', 'employees', 'mood']
['audemars', 'piguet', 'has', 'no', 'plans', 'to', 'expand', 'business', 'in', 'challenging', 'india']
['goa', 'is', 'turning', 'into', 'killer', 'state', 'prabhakar', 'timblo']
['over', '400', 'fake', 'educational', 'institutions', 'cheat', 'students', 'in', 'china']
['mahindra', 'incorporates', 'trringo', 'as', 'wholly', 'owned', 'subsidiary']
['pm', 'modi', 'takes', 'pledge', 'to', 'support', 'amr', 'economic', 'cost', 'could', 'hit', '100', 'tn', 'by', '2050']
['telangana', 'government', 'signs', 'mou', 'with', 'eclat', 'health', 'solutions']
['sell', 'tvs', 'motor', 'target', 'rs', '277', 'rakesh', 'bansal']
['nickel', 'futures', 'up', '0', '79', 'on', 'spot', 'demand']
['suvidhaa', 'infoserve', 'ties', 'up', 'with', 'mobile', 'wallet', 'company', 'mobikwik']
['germany', 'gurudwara', 'attack', 'police', 'admit', 'not', 'acting', 'on', 'tip', 'off']
['sell', 'tech', 'mahindra', 'target', 'rs', '445', 'mitesh', 'thacker']
['flipkart', 'under', 'binny', 'bansals', 'leadership', '2015', 'vs', 'now']
['adani', 'ambanis', 'biggest', 'losers', 'in', 'modis', '2', 'years', 'tata', 'bharti', 'birlas', 'top', 'gainers']
['tall', 'chabahar', 'promises', 'but', 'what', 'we', 'say', 'and', 'what', 'we', 'do', 'is', 'indias', 'credibility', 'gap']
['it', 'will', 'be', 'peoples', 'government', 'in', 'kerala', 'pinarayi', 'vijayan']
['recharged', 'bjp', 'now', 'wants', 'to', 'do', 'an', 'assam', 'like', 'act', 'in', 'uttar', 'pradesh']
['prof', 'vs', 'rao', 'of', 'bits', 'pilani', 'to', 'join', 'niit', 'university', 'as', 'its', 'next', 'president']
['mk', 'stalin', 'elected', 'dmk', 'legislature', 'party', 'leader']
['300', 'million', 'aid', 'to', 'pakistan', 'subject', 'to', 'its', 'action', 'against', 'haqqani', 'us', 'senate', 'panel']
['buy', 'hcl', 'tech', 'target', 'rs', '775', 'swati', 'hotkar']
['181', 'food', 'licences', 'in', 'thane', 'cancelled', 'for', 'fda', 'rule', 'violation']
['sreis', 'hemant', 'kanoria', 'the', 'man', 'who', 'made', 'money', 'off', 'kingfisher', 'airlines', 'debt']
['rio', 'olympic', 'medal', 'winners', 'to', 'be', 'considered', 'for', 'khel', 'ratna', 'arjuna', 'award']
['buy', 'kec', 'intl', 'target', '140', 'swati', 'hotkar']
['buy', 'ntpc', 'target', 'rs', '143', 'mitesh', 'thacker']
['buy', 'shriram', 'transport', 'finance', 'target', 'rs', '1180', 'mitesh', 'thacker']
['five', 'event', 'risks', 'that', 'can', 'make', 'you', 'sweat', 'on', 'd', 'street', 'this', 'june']
['spot', 'demand', 'lifts', 'copper', 'futures', 'by', '0', '29']
['buy', 'uflex', 'target', 'rs', '200', 'swati', 'hotkar']
['fo', 'view', 'call', 'writers', 'take', 'command', 'on', 'd', 'street', 'market', 'base', 'shifts', 'to', '7700']
['buy', 'itc', 'target', 'rs', '360', 'rakesh', 'bansal']
['sell', 'apollo', 'tyres', 'target', 'rs', '143', 'rakesh', 'bansal']
['sell', 'indusind', 'bank', 'target', 'rs', '1025', 'mitesh', 'thacker']
['tata', 'powers', 'generation', 'capacity', 'grows', '5', 'in', '2015', '16']
['when', 'billionaire', 'gp', 'hinduja', 'turned', 'spiritual', 'on', 'his', '75th', 'birthday']
['lifespans', 'ashok', 'jain', 'a', 'diabetic', 'for', '22', 'yrs', 'says', 'healthy', 'lifestyle', 'can', 'fix', 'the', 'disease']
['brad', 'pitt', 'saves', 'young', 'fan', 'from', 'being', 'crushed']
['i', 'travelled', 'solo', 'and', 'here', 'are', 'the', '7', 'things', 'about', 'solo', 'travel', 'that', 'no', 'one', 'told', 'me']
['cancer', 'causing', 'chemicals', 'in', 'bread']
['jsw', 'steel', 'raymond', 'dcm', 'shriram', 'buck', 'the', 'trend', 'prompt', 'analysts', 'to', 'upgrade', 'earnings', 'estimates']
['karnataka', 'land', 'reforms', 'act', 'amended', 'to', 'enable', 'govt', 'purchase', 'of', 'land', 'for', 'public', 'purposes']
['five', 'basic', 'credit', 'myths', 'debunked']
['china', 'cannot', 'digest', 'tim', 'cooks', 'apple', 'plans', 'for', 'india', 'triggers', 'debate']
['equities', 'can', 'give', 'high', 'single', 'digit', 'to', 'low', 'double', 'digit', 'returns', 'by', 'the', 'end', 'of', 'the', 'year', 'mauro', 'ratto']
['nearly', '50', 'investors', 'dont', 'understand', 'the', 'impact', 'of', 'compounding']
['forget', 'brexit', 'fed', 'monsoon', 'biggest', 'overriding', 'factor', 'in', 'indian', 'market', 'ajay', 'srivastava', 'ceo', 'dimension', 'consulting']
['president', 'signs', 'ordinance', 'keeping', 'state', 'boards', 'out', 'of', 'neet', 'this', 'year']
['carbon', 'emission', 'helping', 'octopuses', 'to', 'thrive']
['shabana', 'azmi', 'shoots', 'in', 'kashmir', 'after', '32', 'years']
['national', 'fertilizers', 'hits', '52', 'week', 'high', 'post', 'strong', 'earnings']
['mohamed', 'a', 'el', 'erian', 'says', 'fed', 'is', 'talking', 'up', 'rate', 'increase']
['luxury', 'brands', 'gucci', 'zegna', 'shutting', 'shop', 'as', 'chinese', 'buyers', 'turn', 'thrifty']
['plug', 'loophole', 'leading', 'to', 'misselling', 'of', 'insurance', 'products', 'or', 'else', 'face', 'penalty', 'rbi', 'to', 'banks']
['satiate', 'your', 'hunger', 'with', 'indian', 'sea', 'bass', 'daliya', 'khichdi']
['74', 'investors', 'want', 'a', 'slice', 'of', 'women', 'entrepreneur', 'park']
['in', 'bangaluru', 'malls', 'and', 'citizen', 'groups', 'assisting', 'bbmp', 'in', 'enforcing', 'plastic', 'ban']
['my', 'first', 'year', 'at', 'work', 'spend', 'time', 'on', 'biz', 'challenges']
['g', '7', 'leaves', 'japan', 'yened', 'will', 'it', 'in', 'turn', 'make', 'global', 'currency', 'market', 'riskier']
['try', 'the', 'alien', 'looking', '3dvarius', 'violin', 'and', 'stay', 'amazed']
['instances', 'when', 'ipl', 'owners', 'intruded', 'the', 'game']
['infy', 'dish', 'tv', 'among', 'five', 'stocks', 'that', 'have', 'got', 'buy', 'ratings', 'post', 'q4', 'results']
['lawsuit', 'filed', 'seeking', 'transparency', 'in', 'us', 'h', '1b', 'visa', 'lottery']
['britannia', 'records', 'biggest', 'single', 'day', 'fall', 'as', 'doubts', 'mount', 'about', 'performance', 'peaking', 'out', 'in', 'near', 'term']
['cheap', 'valuation', 'makes', 'analysts', 'bullish', 'on', 'south', 'indian', 'bank', 'despite', 'npa', 'concerns']
['the', 'swiss', 'mull', 'paying', 'people', '2500', 'a', 'month', 'for', 'doing', 'nothing']
['the', 'fed', 'may', 'be', 'bluffing', 'on', 'rate', 'hike', 'mark', 'matthews', 'julius', 'baer']
['where', 'to', 'put', 'money', 'in', 'fmcg', 'power', 'sectors', 'pankaj', 'sharma', 'ed', 'equirus', 'securities']
['sachin', 'tendulkar', 'promoted', 'sports', 'firm', 'smaaash', 'close', 'to', 'raising', 'rs', '200', 'crore', 'to', 'fuel', 'expansion', 'plans']
['job', 'security', 'top', 'priority', 'for', 'indian', 'millennials', 'manpowergroup', 'survey']
['sell', 'andhra', 'bank', 'with', 'a', 'target', 'of', 'rs', '41', 'manav', 'chopra']
['buy', 'power', 'grid', 'with', 'a', 'target', 'of', 'rs', '155', 'mitesh', 'thacker']
['need2know', '8', 'macro', 'triggers', 'that', 'could', 'sway', 'the', 'market', 'today']
['sell', 'jubilant', 'foodworks', 'with', 'a', 'target', 'of', 'rs', '1085', 'ck', 'narayan']
['sell', 'just', 'dial', 'with', 'a', 'target', 'of', 'rs', '645', 'mitesh', 'thacker']
['sell', 'tata', 'steel', 'with', 'a', 'target', 'of', 'rs', '300', 'mitesh', 'thacker']
['sell', 'amara', 'raja', 'batteries', 'with', 'a', 'target', 'of', 'rs', '885', 'ck', 'narayan']
['we', 'are', 'rightly', 'focused', 'against', 'crony', 'capitalism', 'but', 'crony', 'socialism', 'also', 'bad', 'uday', 'kotak']
['sell', 'infosys', 'with', 'a', 'target', 'of', 'rs', '1133', 'siddarth', 'bhamrer']
['sell', 'lt', 'with', 'a', 'target', 'of', 'rs', '1195', 'siddarth', 'bhamrer']
['buy', 'biocon', 'with', 'a', 'target', 'of', 'rs', '665', 'manav', 'chopra']
['sell', 'icici', 'bank', 'with', 'a', 'target', 'of', 'rs', '212', 'mitesh', 'thacker']
['done', 'with', 'low', 'inflation', 'prices', 'of', 'food', 'items', 'rise', '20']
['twelve', 'stocks', 'in', 'focus', 'in', 'tuesday', 'morning', 'trade']
['buy', 'or', 'sell', 'ideas', 'from', 'experts', 'for', 'tuesday', '24', 'may', '2016']
['flipkart', 'will', 'remain', 'the', 'largest', 'player', 'in', 'online', 'retail', 'no', 'challenger', 'in', 'sight', 'for', 'top', 'slot', 'ceo', 'binny', 'bansal']
['flipkart', 'exchanges', 'gmv', 'for', 'customer', 'loyalty', 'markdowns', 'of', 'valuation', 'by', 'mfs', 'irrelevant', 'ceo', 'binny', 'bansal']
['six', 'triggers', 'that', 'changed', 'your', 'market', 'while', 'you', 'were', 'sleeping']
['daydream', 'controller', 'emulator', 'for', 'new', 'android', 'vr', 'platform']
['orgy', 'party', 'to', 'make', 'its', 'debut', 'in', 'hamptons']
['anurag', 'thakur', 'as', 'bcci', 'president', 'is', 'win', 'win', 'situation', 'for', 'both', 'the', 'administrator', 'the', 'politician', 'in', 'him']
['meet', 'five', 'billion', 'dollar', 'titans', 'of', 'china', 'apart', 'from', 'alibabas', 'jack', 'ma']
['android', 'developers', 'are', '72', 'of', 'mobile', 'talent', 'pool', 'survey']
['uday', 'kotak', 'throws', 'his', 'weight', 'behind', 'raghuram', 'rajan', 'tells', 'government', 'to', 'keep', 'politics', 'out', 'of', 'rbi']
['records', 'of', 'assets', 'created', 'under', 'mgnrega', 'to', 'be', 'kept', 'in', 'improved', 'format']
['indigo', 'pilots', 'grounded', 'for', 'mistaking', 'road', 'for', 'runway']
['from', 'masala', 'chai', 'to', 'chai', 'latte', 'when', 'desis', 'return', 'as', 'international', 'hits']
['tax', 'notice', 'sent', 'to', 'cag', 'that', 'ran', 'narendra', 'modis', '2014', 'elections', 'campaign', 'service', 'tax', 'obligations', 'of', 'co', 'under', 'lens']
['arbitration', 'tribunal', 'asks', 'sail', 'to', 'pay', 'rs', '323', 'crore', 'to', 'essar', 'shipping']
['piramal', 'fund', 'management', 'invests', 'rs', '425', 'crore', 'in', 'a', 'lodha', 'project']
['kerala', 'wants', 'short', 'term', 'power', 'only', 'from', 'south', 'says', 'region', 'lacks', 'connectivity', 'with', 'rest', 'of', 'india']
['fresh', 'fruit', 'exports', 'increases', 'at', 'a', 'time', 'when', 'indias', 'overall', 'exports', 'have', 'declined']
['hefty', 'penalties', 'on', 'way', 'to', 'enforce', 'green', 'laws']
['apples', 'suppliers', 'hint', 'at', 'new', 'screens', 'for', '2017', 'iphone']
['reserve', 'bank', 'india', 'caps', 'customer', 'liability', 'in', 'fraudulent', 'deals']
['daycarecos', 'a', 'step', 'in', 'the', 'right', 'direction', 'say', 'hr', 'experts']
['fiat', 'chrysler', 'slumps', 'amid', 'possible', 'german', 'sales', 'ban']
